time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638584796.272005,-2499.952,-2500.0,0,x,0,-2500.0,9661.0,641.0,32295.0,0.0,14508.0,0.1,2.22601323407775,58.32214238179,58.32239670795883,0,kth,0,232.3667456738312,2.0,2.0,0,tth,0,-2.0
1638584797.2437437,-2505.034,-2505.0108695652175,0,x,0,-2505.0108695652175,8953.0,641.0,33114.0,0.0,14528.0,0.1,2.2793226872246697,58.36914238179003,58.37239670795881,0,kth,0,232.3167456738312,2.1,2.1,0,tth,0,-2.1
1638584797.9142344,-2509.993,-2510.021739130435,0,x,0,-2510.021739130435,8973.0,642.0,33765.0,0.0,14532.0,0.1,2.323492981007432,58.420142381790015,58.422396707958825,0,kth,0,232.2667456738312,2.2,2.2,0,tth,0,-2.2
1638584798.5686584,-2515.07,-2515.032608695652,0,x,0,-2515.032608695652,9090.0,646.0,34254.0,0.0,14529.0,0.1,2.3576295684493083,58.47314238179001,58.47239670795881,0,kth,0,232.2167456738312,2.3000000000000003,2.3,0,tth,0,-2.3
1638584799.2274156,-2520.044,-2520.0434782608695,0,x,0,-2520.0434782608695,9241.0,644.0,34548.0,0.0,14523.0,0.1,2.378847345589754,58.52014238179001,58.52239670795882,0,kth,0,232.1667456738312,2.4,2.4,0,tth,0,-2.4
1638584799.9122462,-2525.0570000000002,-2525.054347826087,0,x,0,-2525.054347826087,9571.0,639.0,35028.0,0.0,14543.0,0.1,2.4085814481193704,58.577142381790026,58.57239670795883,0,kth,0,232.1167456738312,2.5,2.5,0,tth,0,-2.5
1638584800.7483664,-2529.926,-2530.0652173913045,0,x,0,-2530.0652173913045,9933.0,652.0,35371.0,0.0,14512.0,0.1,2.437362183020948,58.626142381790004,58.62239670795881,0,kth,0,232.0667456738312,2.6,2.6,0,tth,0,-2.6
1638584801.3994136,-2535.032,-2535.0760869565215,0,x,0,-2535.0760869565215,10291.0,649.0,35644.0,0.0,14519.0,0.1,2.4549900130863005,58.672142381790025,58.672396707958825,0,kth,0,232.0167456738312,2.7,2.7,0,tth,0,-2.7
1638584802.0905588,-2539.9700000000003,-2540.086956521739,0,x,0,-2540.086956521739,10847.0,643.0,36136.0,0.0,14522.0,0.1,2.488362484506266,58.72614238179003,58.72239670795881,0,kth,0,231.9667456738312,2.8000000000000003,2.8,0,tth,0,-2.8
1638584802.7264817,-2545.1440000000002,-2545.0978260869565,0,x,0,-2545.0978260869565,11329.0,638.0,36460.0,0.0,14526.0,0.1,2.509982101060168,58.77214238179002,58.77239670795882,0,kth,0,231.9167456738312,2.9,2.9,0,tth,0,-2.9
1638584803.4101217,-2550.091,-2550.108695652174,0,x,0,-2550.108695652174,11807.0,641.0,36875.0,0.0,14517.0,0.1,2.5401253702555624,58.82614238179002,58.82239670795883,0,kth,0,231.8667456738312,3.0,3.0,0,tth,0,-3.0
1638584804.089527,-2555.125,-2555.1195652173915,0,x,0,-2555.1195652173915,12092.0,639.0,35741.0,0.0,14497.0,0.1,2.465406635855694,58.86814238179002,58.87239670795881,0,kth,0,231.8167456738312,3.1,3.1,0,tth,0,-3.1
1638584804.7816737,-2560.149,-2560.1304347826085,0,x,0,-2560.1304347826085,12695.0,636.0,34607.0,0.0,14531.0,0.1,2.381597962975707,58.918142381790005,58.922396707958825,0,kth,0,231.7667456738312,3.2,3.2,0,tth,0,-3.2
1638584805.685746,-2565.052,-2565.141304347826,0,x,0,-2565.141304347826,13010.0,664.0,34426.0,0.0,14525.0,0.1,2.3701204819277106,58.96814238179002,58.97239670795881,0,kth,0,231.7167456738312,3.3000000000000003,3.3,0,tth,0,-3.3
1638584806.5071313,-2570.185,-2570.1521739130435,0,x,0,-2570.1521739130435,13264.0,653.0,34294.0,0.0,14509.0,0.1,2.3636363636363638,59.01814238179003,59.02239670795882,0,kth,0,231.6667456738312,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004
1638584807.199281,-2575.15,-2575.163043478261,0,x,0,-2575.163043478261,13483.0,650.0,33455.0,0.0,14510.0,0.1,2.3056512749827704,59.06814238179001,59.07239670795883,0,kth,0,231.6167456738312,3.5,3.5,0,tth,0,-3.5
1638584807.8550382,-2580.204,-2580.1739130434785,0,x,0,-2580.1739130434785,13887.0,653.0,33006.0,0.0,14512.0,0.1,2.274393605292172,59.11814238179002,59.12239670795881,0,kth,0,231.5667456738312,3.6,3.6,0,tth,0,-3.6
1638584808.4969316,-2585.232,-2585.1847826086955,0,x,0,-2585.1847826086955,14419.0,659.0,35507.0,0.0,14501.0,0.1,2.4485897524308666,59.176142381790015,59.172396707958825,0,kth,0,231.5167456738312,3.7,3.7,0,tth,0,-3.7
1638584809.1991875,-2590.225,-2590.195652173913,0,x,0,-2590.195652173913,14664.0,660.0,33917.0,0.0,14506.0,0.1,2.3381359437474147,59.22414238179002,59.22239670795881,0,kth,0,231.4667456738312,3.8000000000000003,3.8,0,tth,0,-3.8
1638584809.8499205,-2595.208,-2595.2065217391305,0,x,0,-2595.2065217391305,15051.0,654.0,33776.0,0.0,14513.0,0.1,2.3272927719975196,59.27614238179001,59.27239670795882,0,kth,0,231.4167456738312,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004
1638584810.566145,-2600.263,-2600.217391304348,0,x,0,-2600.217391304348,15507.0,656.0,33064.0,0.0,14489.0,0.1,2.282007039823314,59.327142381790026,59.32239670795883,0,kth,0,231.3667456738312,4.0,4.0,0,tth,0,-4.0
1638584811.3564305,-2605.277,-2605.228260869565,0,x,0,-2605.228260869565,15766.0,651.0,32281.0,0.0,14509.0,0.1,2.224894892825143,59.37714238179001,59.37239670795881,0,kth,0,231.3167456738312,4.1,4.1,0,tth,0,-4.1
1638584812.0435019,-2610.286,-2610.2391304347825,0,x,0,-2610.2391304347825,16017.0,661.0,29439.0,0.0,14503.0,0.1,2.029855891884438,59.41914238179001,59.422396707958825,0,kth,0,231.2667456738312,4.2,4.2,0,tth,0,-4.2
1638584812.7006443,-2615.2960000000003,-2615.25,0,x,0,-2615.25,16235.0,671.0,28476.0,0.0,14518.0,0.1,1.961427193828351,59.47314238179001,59.47239670795881,0,kth,0,231.2167456738312,4.3,4.300000000000001,0,tth,0,-4.300000000000001
1638584813.339863,-2620.19,-2620.2608695652175,0,x,0,-2620.2608695652175,16566.0,661.0,27554.0,0.0,14517.0,0.1,1.89805056141076,59.52614238179001,59.52239670795882,0,kth,0,231.1667456738312,4.4,4.4,0,tth,0,-4.4
1638584814.0082157,-2625.295,-2625.271739130435,0,x,0,-2625.271739130435,16430.0,664.0,25328.0,0.0,14514.0,0.1,1.7450737219236598,59.57314238179001,59.57239670795883,0,kth,0,231.1167456738312,4.5,4.5,0,tth,0,-4.5
1638584814.656195,-2630.237,-2630.282608695652,0,x,0,-2630.282608695652,16498.0,660.0,23242.0,0.0,14501.0,0.1,1.602786014757603,59.62214238179001,59.62239670795881,0,kth,0,231.0667456738312,4.6000000000000005,4.6,0,tth,0,-4.6
1638584815.348791,-2635.295,-2635.2934782608695,0,x,0,-2635.2934782608695,16271.0,662.0,21362.0,0.0,14513.0,0.1,1.4719217253496866,59.67314238179003,59.672396707958825,0,kth,0,231.0167456738312,4.7,4.7,0,tth,0,-4.7
1638584815.991924,-2640.174,-2640.304347826087,0,x,0,-2640.304347826087,16091.0,663.0,18721.0,0.0,14521.0,0.1,1.2892362784932168,59.72214238179001,59.72239670795881,0,kth,0,230.9667456738312,4.8,4.800000000000001,0,tth,0,-4.800000000000001
1638584816.821938,-2645.356,-2645.3152173913045,0,x,0,-2645.3152173913045,15767.0,656.0,16940.0,0.0,14516.0,0.1,1.1669881510057867,59.77614238179001,59.77239670795882,0,kth,0,230.9167456738312,4.9,4.9,0,tth,0,-4.9
1638584817.4495392,-2650.195,-2650.326086956522,0,x,0,-2650.326086956522,15487.0,657.0,14100.0,0.0,14493.0,0.1,0.9728834609811633,59.819142381790016,59.82239670795883,0,kth,0,230.8667456738312,5.0,5.0,0,tth,0,-5.0
1638584818.0808647,-2655.334,-2655.336956521739,0,x,0,-2655.336956521739,15169.0,653.0,12444.0,0.0,14500.0,0.1,0.8582068965517241,59.87114238179001,59.87239670795881,0,kth,0,230.8167456738312,5.1000000000000005,5.1,0,tth,0,-5.1
1638584818.7103097,-2660.387,-2660.3478260869565,0,x,0,-2660.3478260869565,15018.0,669.0,10805.0,0.0,14502.0,0.1,0.7450696455661288,59.922142381790025,59.922396707958825,0,kth,0,230.7667456738312,5.2,5.2,0,tth,0,-5.2
1638584819.3536537,-2665.388,-2665.358695652174,0,x,0,-2665.358695652174,14615.0,661.0,8862.0,0.0,14516.0,0.1,0.6104987599889777,59.97114238179,59.97239670795881,0,kth,0,230.7167456738312,5.3,5.300000000000001,0,tth,0,-5.300000000000001
1638584820.036649,-2670.396,-2670.3695652173915,0,x,0,-2670.3695652173915,14381.0,659.0,7267.0,0.0,14492.0,0.1,0.5014490753519183,60.01814238179003,60.02239670795882,0,kth,0,230.6667456738312,5.4,5.4,0,tth,0,-5.4
1638584820.6975121,-2675.415,-2675.3804347826085,0,x,0,-2675.3804347826085,13975.0,664.0,6465.0,0.0,14498.0,0.1,0.44592357566560903,60.06814238179001,60.07239670795883,0,kth,0,230.6167456738312,5.5,5.5,0,tth,0,-5.5
1638584821.3600292,-2680.329,-2680.391304347826,0,x,0,-2680.391304347826,14020.0,660.0,6305.0,0.0,14501.0,0.1,0.43479760016550584,60.11814238179002,60.12239670795881,0,kth,0,230.5667456738312,5.6000000000000005,5.6,0,tth,0,-5.6
1638584821.994418,-2685.424,-2685.4021739130435,0,x,0,-2685.4021739130435,14181.0,663.0,6472.0,0.0,14506.0,0.1,0.4461602095684544,60.17114238179002,60.172396707958825,0,kth,0,230.5167456738312,5.7,5.7,0,tth,0,-5.7
1638584822.6698782,-2690.422,-2690.413043478261,0,x,0,-2690.413043478261,14222.0,664.0,6340.0,0.0,14488.0,0.1,0.4376035339591386,60.22514238179002,60.22239670795881,0,kth,0,230.4667456738312,5.8,5.800000000000001,0,tth,0,-5.800000000000001
1638584823.3109605,-2695.304,-2695.4239130434785,0,x,0,-2695.4239130434785,14228.0,652.0,5557.0,0.0,14516.0,0.1,0.38281895839074126,60.273142381790024,60.27239670795882,0,kth,0,230.4167456738312,5.9,5.9,0,tth,0,-5.9
1638584823.9474094,-2700.4610000000002,-2700.4347826086955,0,x,0,-2700.4347826086955,13862.0,652.0,4390.0,0.0,14508.0,0.1,0.3025916735594155,60.32214238179,60.32239670795883,0,kth,0,230.3667456738312,6.0,6.0,0,tth,0,-6.0
1638584824.74457,-2705.507,-2705.445652173913,0,x,0,-2705.445652173913,13288.0,655.0,3226.0,0.0,14533.0,0.1,0.22197756829285076,60.376142381790004,60.37239670795881,0,kth,0,230.3167456738312,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005
1638584825.5684242,-2710.274,-2710.4565217391305,0,x,0,-2710.4565217391305,12742.0,656.0,2400.0,0.0,14530.0,0.1,0.16517549896765313,60.42714238179002,60.422396707958825,0,kth,0,230.2667456738312,6.2,6.2,0,tth,0,-6.2
1638584826.2705798,-2715.391,-2715.467391304348,0,x,0,-2715.467391304348,12461.0,645.0,2238.0,0.0,14549.0,0.1,0.15382500515499348,60.47714238179,60.47239670795881,0,kth,0,230.2167456738312,6.3,6.3,0,tth,0,-6.3
1638584826.9431517,-2720.454,-2720.478260869565,0,x,0,-2720.478260869565,12496.0,650.0,2574.0,0.0,14534.0,0.1,0.1771019677996422,60.527142381790014,60.52239670795882,0,kth,0,230.1667456738312,6.4,6.4,0,tth,0,-6.4
1638584827.5799236,-2725.462,-2725.4891304347825,0,x,0,-2725.4891304347825,12606.0,648.0,3055.0,0.0,14556.0,0.1,0.20987908766144545,60.57414238179001,60.57239670795883,0,kth,0,230.1167456738312,6.5,6.5,0,tth,0,-6.5
1638584828.2531016,-2730.469,-2730.5,0,x,0,-2730.5,12887.0,652.0,3190.0,0.0,14543.0,0.1,0.21934951523069518,60.61814238179002,60.62239670795881,0,kth,0,230.0667456738312,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005
1638584828.8880827,-2735.536,-2735.5108695652175,0,x,0,-2735.5108695652175,13095.0,654.0,3309.0,0.0,14534.0,0.1,0.22767304252098527,60.672142381790025,60.672396707958825,0,kth,0,230.0167456738312,6.7,6.7,0,tth,0,-6.7
1638584829.544067,-2740.5660000000003,-2740.521739130435,0,x,0,-2740.521739130435,13015.0,656.0,2918.0,0.0,14542.0,0.1,0.20066015678723698,60.71914238179002,60.72239670795881,0,kth,0,229.9667456738312,6.8,6.800000000000001,0,tth,0,-6.800000000000001
1638584830.2040691,-2745.447,-2745.532608695652,0,x,0,-2745.532608695652,12761.0,659.0,2300.0,0.0,14534.0,0.1,0.15824962157699188,60.769142381790004,60.77239670795882,0,kth,0,229.9167456738312,6.9,6.9,0,tth,0,-6.9
1638584830.984482,-2750.652,-2750.5434782608695,0,x,0,-2750.5434782608695,12333.0,649.0,1628.0,0.0,14530.0,0.1,0.11204404679972471,60.81814238179001,60.82239670795883,0,kth,0,229.8667456738312,7.0,7.0,0,tth,0,-7.0
1638584831.6308546,-2755.473,-2755.554347826087,0,x,0,-2755.554347826087,11774.0,652.0,1084.0,0.0,14543.0,0.1,0.07453757821632401,60.86914238179003,60.87239670795881,0,kth,0,229.8167456738312,7.1000000000000005,7.1000000000000005,0,tth,0,-7.1000000000000005
1638584832.2822375,-2760.484,-2760.5652173913045,0,x,0,-2760.5652173913045,11331.0,649.0,772.0,0.0,14563.0,0.1,0.05301105541440637,60.920142381790015,60.922396707958825,0,kth,0,229.7667456738312,7.2,7.2,0,tth,0,-7.2
1638584832.9976301,-2765.578,-2765.576086956522,0,x,0,-2765.576086956522,11040.0,651.0,700.0,0.0,14542.0,0.1,0.04813643240269564,60.96914238179002,60.97239670795881,0,kth,0,229.7167456738312,7.3,7.300000000000001,0,tth,0,-7.300000000000001
1638584833.6256292,-2770.611,-2770.586956521739,0,x,0,-2770.586956521739,10892.0,650.0,883.0,0.0,14513.0,0.1,0.06084200372080204,61.02414238179003,61.02239670795882,0,kth,0,229.6667456738312,7.4,7.4,0,tth,0,-7.4
