,1638663024.8829167
undulator_energy_setpoint,0.545901
undulator_energy_readback,0.5147045254707336
kappa_motors_m8,72.82114238179003
kappa_motors_m8_user_setpoint,72.82183420427256
kappa_motors_m8_sync,0
kappa_motors_m8_desc,kth
kappa_motors_m8_homf,0
kappa_motors_m8_dval,217.86730817751746
select_detector,d3
kappa_motors_m3,0.093
kappa_motors_m3_user_setpoint,0.0
kappa_motors_m3_sync,0
kappa_motors_m3_desc,y
kappa_motors_m3_homf,0
kappa_motors_m3_dval,-0.0
kappa_motors_m9,30.0
kappa_motors_m9_user_setpoint,30.0
kappa_motors_m9_sync,0
kappa_motors_m9_desc,tth
kappa_motors_m9_homf,0
kappa_motors_m9_dval,-5.747
mono_energy_setpoint,536.0
mono_energy,536.0052185
mono_mirror_pitch,3.58142333984375
mono_mirror_pitch_user_setpoint,3.581373291015625
mono_grating_pitch,4.854501318359375
mono_grating_pitch_user_setpoint,4.854479345703125
mono_grating_density,1200.0
mono_mirror_status,1
mono_grating_status,1
kappa_motors_m1,57.0485334
kappa_motors_m1_user_setpoint,57.04499999999996
kappa_motors_m1_sync,0
kappa_motors_m1_desc,kphi
kappa_motors_m1_homf,0
kappa_motors_m1_dval,85.26580415999996
centroidM3R,110.65217391304348
kappa_motors_m2,-0.296
kappa_motors_m2_user_setpoint,0.0
kappa_motors_m2_sync,0
kappa_motors_m2_desc,x
kappa_motors_m2_homf,0
kappa_motors_m2_dval,0.0
kappa_motors_m7,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236
kappa_motors_m7_sync,0
kappa_motors_m7_desc,kap
kappa_motors_m7_homf,0
kappa_motors_m7_dval,179.2059273836236
kappa_motors_m4,-89.893
kappa_motors_m4_user_setpoint,-90.0
kappa_motors_m4_sync,0
kappa_motors_m4_desc,z
kappa_motors_m4_homf,0
kappa_motors_m4_dval,-90.0
srs_A4,2e-09
