time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638730320.228878,71.50214238179001,71.50014238179003,0,kth,0,219.189,13514.0,19.0,4.0,0.0,16462.0,0.2
1638730321.1610296,71.51914238179,71.52014238179004,0,kth,0,219.16899999999998,13476.0,18.0,0.0,0.0,16455.0,0.2
1638730322.0698457,71.54014238179002,71.54014238179002,0,kth,0,219.149,13437.0,19.0,0.0,0.0,16457.0,0.2
1638730322.9214547,71.55914238179002,71.56014238179003,0,kth,0,219.129,13401.0,18.0,3.0,0.0,16465.0,0.2
1638730323.8022554,71.58414238179,71.58014238179004,0,kth,0,219.10899999999998,13465.0,19.0,9.0,0.0,16444.0,0.2
1638730324.6717615,71.59814238179001,71.60014238179002,0,kth,0,219.089,13299.0,18.0,1.0,0.0,16466.0,0.2
1638730325.513592,71.62114238179001,71.62014238179003,0,kth,0,219.069,13364.0,19.0,0.0,0.0,16457.0,0.2
1638730326.336329,71.63914238179001,71.64014238179004,0,kth,0,219.04899999999998,13489.0,19.0,7.0,0.0,16452.0,0.2
1638730327.2126591,71.65914238179002,71.66014238179002,0,kth,0,219.029,13392.0,18.0,0.0,0.0,16452.0,0.2
1638730328.0713346,71.67914238179003,71.68014238179003,0,kth,0,219.009,13330.0,19.0,2.0,0.0,16448.0,0.2
1638730328.9469116,71.70114238179002,71.70014238179004,0,kth,0,218.98899999999998,13299.0,17.0,4.0,0.0,16457.0,0.2
1638730329.99681,71.71914238179002,71.72014238179003,0,kth,0,218.969,13275.0,19.0,0.0,0.0,16459.0,0.2
1638730330.8228962,71.74214238179002,71.74014238179001,0,kth,0,218.949,13322.0,18.0,10.0,0.0,16448.0,0.2
1638730331.7473118,71.75814238179001,71.76014238179005,0,kth,0,218.92899999999997,13281.0,19.0,5.0,0.0,16450.0,0.2
1638730332.5654054,71.78014238179003,71.78014238179003,0,kth,0,218.909,13248.0,19.0,2.0,0.0,16462.0,0.2
1638730333.4134686,71.79914238179,71.80014238179001,0,kth,0,218.889,13106.0,19.0,7.0,0.0,16451.0,0.2
1638730334.297445,71.82314238179,71.82014238179002,0,kth,0,218.869,13210.0,19.0,13.0,0.0,16446.0,0.2
1638730335.4672472,71.83814238179002,71.84014238179003,0,kth,0,218.849,13117.0,19.0,8.0,0.0,16455.0,0.2
1638730336.5292034,71.86014238179001,71.86014238179001,0,kth,0,218.829,13081.0,18.0,0.0,0.0,16454.0,0.2
1638730337.3860068,71.88014238179002,71.88014238179002,0,kth,0,218.809,13146.0,19.0,7.0,0.0,16437.0,0.2
