time,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638730974.1291697,1.1805089461879628,117257.0,20.0,70003.0,0.0,59299.0,0.2,2.0,2.0,0,tth,0,-2.0,58.47714238179,58.47709960277629,0,kth,0,232.21204277901373,5200.012,5200.0,0,x,0,5200.0
1638730975.5071414,1.2045327978129166,110501.0,21.0,71377.0,0.0,59257.0,0.2,2.1,2.1,0,tth,0,-2.1,58.52214238179002,58.527099602776275,0,kth,0,232.16204277901375,5205.017,5205.027777777777,0,x,0,5205.027777777777
1638730976.96926,1.2243572440785477,112404.0,19.0,72575.0,0.0,59276.0,0.2,2.2,2.2,0,tth,0,-2.2,58.57914238179001,58.577099602776286,0,kth,0,232.11204277901373,5210.068,5210.055555555556,0,x,0,5210.055555555556
1638730978.2983427,1.243707402658749,114195.0,21.0,73722.0,0.0,59276.0,0.2,2.3000000000000003,2.3,0,tth,0,-2.3,58.62914238179002,58.6270996027763,0,kth,0,232.06204277901372,5215.06,5215.083333333333,0,x,0,5215.083333333333
1638730979.5974386,1.2722210034257555,115851.0,21.0,75388.0,0.0,59257.0,0.2,2.4,2.4,0,tth,0,-2.4,58.67914238179003,58.67709960277631,0,kth,0,232.0120427790137,5220.109,5220.111111111111,0,x,0,5220.111111111111
1638730980.997892,1.2922114070750181,116591.0,20.0,76601.0,0.0,59279.0,0.2,2.5,2.5,0,tth,0,-2.5,58.72414238179002,58.72709960277629,0,kth,0,231.96204277901373,5225.1050000000005,5225.138888888889,0,x,0,5225.138888888889
1638730982.3035343,1.3164270770061417,120279.0,21.0,78022.0,0.0,59268.0,0.2,2.6,2.6,0,tth,0,-2.6,58.779142381790024,58.777099602776275,0,kth,0,231.91204277901375,5230.18,5230.166666666667,0,x,0,5230.166666666667
1638730983.699354,1.3360525604648021,122684.0,21.0,79105.0,0.0,59208.0,0.2,2.7,2.7,0,tth,0,-2.7,58.82314238179001,58.827099602776286,0,kth,0,231.86204277901373,5235.198,5235.194444444444,0,x,0,5235.194444444444
1638730985.1212714,1.3495799169956473,126557.0,20.0,79995.0,0.0,59274.0,0.2,2.8000000000000003,2.8,0,tth,0,-2.8,58.87514238179003,58.8770996027763,0,kth,0,231.81204277901372,5240.22,5240.222222222223,0,x,0,5240.222222222223
1638730986.4705591,1.3578015741647806,130919.0,20.0,80390.0,0.0,59206.0,0.2,2.9,2.9,0,tth,0,-2.9,58.926142381790015,58.92709960277631,0,kth,0,231.7620427790137,5245.249,5245.25,0,x,0,5245.25
