time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638738772.9211836,-600.096,-600.0,0,x,0,-600.0,0.7102051884660581,61.97414238179002,61.97709960277629,0,kth,0,228.71204277901373,9.0,9.0,0,tth,0,-9.0,43397.0,10.0,7857.0,0.0,11063.0,0.1
1638738774.4894283,-605.048,-605.016129032258,0,x,0,-605.016129032258,0.7437754640108647,62.02614238179001,62.027099602776275,0,kth,0,228.66204277901375,9.1,9.1,0,tth,0,-9.1,41834.0,11.0,8215.0,0.0,11045.0,0.1
1638738775.833814,-610.025,-610.0322580645161,0,x,0,-610.0322580645161,0.7998010670042499,62.07314238179001,62.077099602776286,0,kth,0,228.61204277901373,9.200000000000001,9.2,0,tth,0,-9.2,41380.0,10.0,8845.0,0.0,11059.0,0.1
1638738777.1522598,-615.046,-615.0483870967741,0,x,0,-615.0483870967741,0.8693689627155367,62.12814238179001,62.1270996027763,0,kth,0,228.56204277901372,9.3,9.3,0,tth,0,-9.3,40888.0,10.0,9630.0,0.0,11077.0,0.1
1638738778.386094,-619.986,-620.0645161290323,0,x,0,-620.0645161290323,0.884059280679559,62.174142381790006,62.17709960277631,0,kth,0,228.5120427790137,9.4,9.4,0,tth,0,-9.4,40383.0,10.0,9783.0,0.0,11066.0,0.1
1638738779.651884,-625.12,-625.0806451612904,0,x,0,-625.0806451612904,0.9067137169743033,62.23114238179002,62.22709960277629,0,kth,0,228.46204277901373,9.5,9.5,0,tth,0,-9.5,39875.0,10.0,10021.0,0.0,11052.0,0.1
1638738780.9812076,-630.073,-630.0967741935484,0,x,0,-630.0967741935484,0.8455144999548287,62.27414238179003,62.277099602776275,0,kth,0,228.41204277901375,9.6,9.6,0,tth,0,-9.6,39666.0,10.0,9359.0,0.0,11069.0,0.1
1638738782.2672322,-635.042,-635.1129032258065,0,x,0,-635.1129032258065,0.7988609654673657,62.325142381790016,62.327099602776286,0,kth,0,228.36204277901373,9.700000000000001,9.7,0,tth,0,-9.7,39213.0,10.0,8837.0,0.0,11062.0,0.1
1638738783.4607875,-640.141,-640.1290322580645,0,x,0,-640.1290322580645,0.7410286540721324,62.37414238179002,62.3770996027763,0,kth,0,228.31204277901372,9.8,9.8,0,tth,0,-9.8,38915.0,10.0,8198.0,0.0,11063.0,0.1
1638738784.6928966,-645.101,-645.1451612903226,0,x,0,-645.1451612903226,0.7206108249751514,62.42714238179002,62.42709960277631,0,kth,0,228.2620427790137,9.9,9.9,0,tth,0,-9.9,38654.0,10.0,7975.0,0.0,11067.0,0.1
1638738785.8786726,-650.082,-650.1612903225806,0,x,0,-650.1612903225806,0.735966735966736,62.47714238179,62.47709960277629,0,kth,0,228.21204277901373,10.0,10.0,0,tth,0,-10.0,38050.0,10.0,8142.0,0.0,11063.0,0.1
1638738787.0806787,-655.133,-655.1774193548387,0,x,0,-655.1774193548387,0.8268883267076256,62.531142381790005,62.527099602776275,0,kth,0,228.16204277901375,10.1,10.1,0,tth,0,-10.1,37682.0,10.0,9152.0,0.0,11068.0,0.1
1638738788.2997248,-660.141,-660.1935483870968,0,x,0,-660.1935483870968,0.9576026035075031,62.57214238179,62.577099602776286,0,kth,0,228.11204277901373,10.200000000000001,10.2,0,tth,0,-10.2,37239.0,11.0,10593.0,0.0,11062.0,0.1
1638738789.7502208,-665.235,-665.2096774193549,0,x,0,-665.2096774193549,1.1651898734177215,62.63014238179002,62.6270996027763,0,kth,0,228.06204277901372,10.3,10.3,0,tth,0,-10.3,36854.0,10.0,12887.0,0.0,11060.0,0.1
1638738791.0229042,-670.255,-670.2258064516129,0,x,0,-670.2258064516129,1.3591600289645185,62.676142381790015,62.67709960277631,0,kth,0,228.0120427790137,10.4,10.4,0,tth,0,-10.4,36471.0,10.0,15016.0,0.0,11048.0,0.1
1638738792.3169537,-675.179,-675.241935483871,0,x,0,-675.241935483871,1.5475566796134044,62.72714238179,62.72709960277629,0,kth,0,227.96204277901373,10.5,10.5,0,tth,0,-10.5,36163.0,10.0,17133.0,0.0,11071.0,0.1
1638738793.6264775,-680.208,-680.258064516129,0,x,0,-680.258064516129,1.723498552821997,62.781142381790005,62.777099602776275,0,kth,0,227.91204277901375,10.6,10.6,0,tth,0,-10.6,35896.0,11.0,19055.0,0.0,11056.0,0.1
1638738794.8204947,-685.272,-685.2741935483871,0,x,0,-685.2741935483871,1.827757685352622,62.825142381790016,62.827099602776286,0,kth,0,227.86204277901373,10.700000000000001,10.7,0,tth,0,-10.7,35690.0,9.0,20215.0,0.0,11060.0,0.1
1638738796.0421422,-690.287,-690.2903225806451,0,x,0,-690.2903225806451,1.8720919706707704,62.87514238179003,62.8770996027763,0,kth,0,227.81204277901372,10.8,10.8,0,tth,0,-10.8,35353.0,10.0,20681.0,0.0,11047.0,0.1
1638738797.2383761,-695.2860000000001,-695.3064516129032,0,x,0,-695.3064516129032,1.8733056208205314,62.92714238179002,62.92709960277631,0,kth,0,227.7620427790137,10.9,10.9,0,tth,0,-10.9,35144.0,9.0,20730.0,0.0,11066.0,0.1
1638738798.4831567,-700.278,-700.3225806451613,0,x,0,-700.3225806451613,1.7878870179250408,62.97414238179002,62.97709960277629,0,kth,0,227.71204277901373,11.0,11.0,0,tth,0,-11.0,34864.0,9.0,19749.0,0.0,11046.0,0.1
1638738799.729801,-705.321,-705.3387096774194,0,x,0,-705.3387096774194,1.7204952105548528,63.025142381790005,63.027099602776275,0,kth,0,227.66204277901375,11.1,11.1,0,tth,0,-11.1,34607.0,10.0,19039.0,0.0,11066.0,0.1
1638738801.0072536,-710.337,-710.3548387096774,0,x,0,-710.3548387096774,1.6027322898760517,63.07614238179002,63.077099602776286,0,kth,0,227.61204277901373,11.200000000000001,11.2,0,tth,0,-11.2,34359.0,10.0,17715.0,0.0,11053.0,0.1
1638738802.3256056,-715.347,-715.3709677419355,0,x,0,-715.3709677419355,1.4552110639067162,63.12314238179002,63.1270996027763,0,kth,0,227.56204277901372,11.3,11.3,0,tth,0,-11.3,34090.0,10.0,16099.0,0.0,11063.0,0.1
1638738803.5054083,-720.335,-720.3870967741935,0,x,0,-720.3870967741935,1.4175555957331405,63.176142381790015,63.17709960277631,0,kth,0,227.5120427790137,11.4,11.4,0,tth,0,-11.4,34062.0,10.0,15681.0,0.0,11062.0,0.1
1638738804.7158237,-725.36,-725.4032258064516,0,x,0,-725.4032258064516,1.304489206033782,63.22314238179001,63.22709960277629,0,kth,0,227.46204277901373,11.5,11.5,0,tth,0,-11.5,33790.0,9.0,14442.0,0.0,11071.0,0.1
1638738806.0320535,-730.347,-730.4193548387098,0,x,0,-730.4193548387098,1.236756463568975,63.28014238179003,63.277099602776275,0,kth,0,227.41204277901375,11.6,11.6,0,tth,0,-11.6,33548.0,10.0,13681.0,0.0,11062.0,0.1
1638738807.282341,-735.369,-735.4354838709678,0,x,0,-735.4354838709678,1.1451204055766793,63.32314238179001,63.327099602776286,0,kth,0,227.36204277901373,11.700000000000001,11.7,0,tth,0,-11.7,33245.0,10.0,12649.0,0.0,11046.0,0.1
