time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638747419.4643888,58.35814238179,58.35781675153791,0,kth,0,232.3313256302521,2.200625799071395,28491.0,9.0,65407.0,0.0,29722.0,0.1,2.0,2.0,0,tth,0,-2.0,299.99,300.0,0,x,0,300.0
1638747420.7011328,58.40514238179003,58.407816751537894,0,kth,0,232.28132563025213,2.2038740104429846,26889.0,10.0,65422.0,0.0,29685.0,0.1,2.1,2.1,0,tth,0,-2.1,304.936,305.02777777777777,0,x,0,305.02777777777777
1638747421.9716902,58.45714238179002,58.457816751537905,0,kth,0,232.23132563025212,2.201164316721069,27599.0,11.0,65412.0,0.0,29717.0,0.1,2.2,2.2,0,tth,0,-2.2,310.052,310.05555555555554,0,x,0,310.05555555555554
1638747423.2557528,58.50814238179001,58.507816751537916,0,kth,0,232.1813256302521,2.204003234937323,28709.0,10.0,65406.0,0.0,29676.0,0.1,2.3000000000000003,2.3,0,tth,0,-2.3,314.944,315.0833333333333,0,x,0,315.0833333333333
1638747424.5695486,58.55614238179001,58.55781675153793,0,kth,0,232.1313256302521,2.202295987072448,29749.0,10.0,65417.0,0.0,29704.0,0.1,2.4,2.4,0,tth,0,-2.4,320.055,320.1111111111111,0,x,0,320.1111111111111
1638747425.784781,58.61214238179002,58.60781675153791,0,kth,0,232.0813256302521,2.199152827270894,31116.0,10.0,65416.0,0.0,29746.0,0.1,2.5,2.5,0,tth,0,-2.5,325.109,325.1388888888889,0,x,0,325.1388888888889
1638747427.0629723,58.66114238179003,58.657816751537894,0,kth,0,232.03132563025213,2.202700427623826,32156.0,10.0,65418.0,0.0,29699.0,0.1,2.6,2.6,0,tth,0,-2.6,330.209,330.1666666666667,0,x,0,330.1666666666667
1638747428.2520902,58.70514238179001,58.707816751537905,0,kth,0,231.98132563025212,2.203691851652238,33170.0,10.0,65421.0,0.0,29687.0,0.1,2.7,2.7,0,tth,0,-2.7,335.192,335.19444444444446,0,x,0,335.19444444444446
1638747429.478756,58.75614238179003,58.757816751537916,0,kth,0,231.9313256302521,2.202160961324851,34384.0,10.0,65424.0,0.0,29709.0,0.1,2.8000000000000003,2.8,0,tth,0,-2.8,340.19,340.22222222222223,0,x,0,340.22222222222223
1638747430.808921,58.807142381790015,58.80781675153793,0,kth,0,231.8813256302521,2.2027677699585846,35300.0,10.0,65420.0,0.0,29699.0,0.1,2.9,2.9,0,tth,0,-2.9,345.182,345.25,0,x,0,345.25
1638747432.0493708,58.85514238179002,58.85781675153791,0,kth,0,231.8313256302521,2.204184777115132,36188.0,10.0,65418.0,0.0,29679.0,0.1,3.0,3.0,0,tth,0,-3.0,350.21,350.27777777777777,0,x,0,350.27777777777777
1638747433.3072987,58.90714238179001,58.907816751537894,0,kth,0,231.78132563025213,2.203219722484171,36936.0,11.0,65418.0,0.0,29692.0,0.1,3.1,3.1,0,tth,0,-3.1,355.33,355.30555555555554,0,x,0,355.30555555555554
1638747434.649179,58.95414238179001,58.957816751537905,0,kth,0,231.73132563025212,2.2028014411259638,37352.0,9.0,65421.0,0.0,29699.0,0.1,3.2,3.2,0,tth,0,-3.2,360.307,360.3333333333333,0,x,0,360.3333333333333
1638747435.9837592,59.00414238179002,59.007816751537916,0,kth,0,231.6813256302521,2.2043333221012906,37981.0,10.0,65418.0,0.0,29677.0,0.1,3.3000000000000003,3.3,0,tth,0,-3.3,365.34000000000003,365.3611111111111,0,x,0,365.3611111111111
1638747437.3047416,59.06214238179001,59.05781675153793,0,kth,0,231.6313256302521,2.1916792993094156,38648.0,11.0,65060.0,0.0,29685.0,0.1,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004,370.378,370.3888888888889,0,x,0,370.3888888888889
1638747438.703258,59.10414238179001,59.10781675153791,0,kth,0,231.5813256302521,2.2050348801941158,39245.0,10.0,65430.0,0.0,29673.0,0.1,3.5,3.5,0,tth,0,-3.5,375.365,375.4166666666667,0,x,0,375.4166666666667
1638747439.9944406,59.15314238179002,59.157816751537894,0,kth,0,231.53132563025213,2.2039613298750296,39660.0,10.0,65429.0,0.0,29687.0,0.1,3.6,3.6,0,tth,0,-3.6,380.446,380.44444444444446,0,x,0,380.44444444444446
1638747441.2718565,59.208142381790026,59.207816751537905,0,kth,0,231.48132563025212,2.107885775934729,40041.0,10.0,62522.0,0.0,29661.0,0.1,3.7,3.7,0,tth,0,-3.7,385.45300000000003,385.47222222222223,0,x,0,385.47222222222223
1638747442.5744138,59.25814238179001,59.257816751537916,0,kth,0,231.4313256302521,1.9839161074957008,40575.0,10.0,58837.0,0.0,29657.0,0.1,3.8000000000000003,3.8,0,tth,0,-3.8,390.35,390.5,0,x,0,390.5
1638747443.7827475,59.311142381790006,59.30781675153793,0,kth,0,231.3813256302521,1.5784241035319493,40793.0,11.0,46835.0,0.0,29672.0,0.1,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004,395.455,395.52777777777777,0,x,0,395.52777777777777
1638747445.0719767,59.36014238179001,59.35781675153791,0,kth,0,231.3313256302521,1.5664250800606776,41240.0,9.0,46468.0,0.0,29665.0,0.1,4.0,4.0,0,tth,0,-4.0,400.496,400.55555555555554,0,x,0,400.55555555555554
1638747446.377412,59.412142381790005,59.407816751537894,0,kth,0,231.28132563025213,1.2294728326816773,41288.0,11.0,36476.0,0.0,29668.0,0.1,4.1,4.1,0,tth,0,-4.1,405.574,405.5833333333333,0,x,0,405.5833333333333
1638747447.616094,59.456142381790016,59.457816751537905,0,kth,0,231.23132563025212,1.326739013211108,41362.0,10.0,39367.0,0.0,29672.0,0.1,4.2,4.2,0,tth,0,-4.2,410.584,410.6111111111111,0,x,0,410.6111111111111
1638747448.963448,59.50814238179001,59.507816751537916,0,kth,0,231.1813256302521,1.0550761763516245,41334.0,10.0,31302.0,0.0,29668.0,0.1,4.3,4.300000000000001,0,tth,0,-4.300000000000001,415.629,415.6388888888889,0,x,0,415.6388888888889
1638747450.2686837,59.55414238179003,59.55781675153793,0,kth,0,231.1313256302521,1.0587402212031292,41316.0,10.0,31398.0,0.0,29656.0,0.1,4.4,4.4,0,tth,0,-4.4,420.657,420.66666666666663,0,x,0,420.66666666666663
1638747451.538187,59.60414238179001,59.60781675153791,0,kth,0,231.0813256302521,1.0227640631323351,41306.0,10.0,30327.0,0.0,29652.0,0.1,4.5,4.5,0,tth,0,-4.5,425.605,425.69444444444446,0,x,0,425.69444444444446
1638747452.8227892,59.658142381790014,59.657816751537894,0,kth,0,231.03132563025213,0.8981902739864523,41530.0,10.0,26652.0,0.0,29673.0,0.1,4.6000000000000005,4.6,0,tth,0,-4.6,430.601,430.72222222222223,0,x,0,430.72222222222223
1638747454.060579,59.71214238179002,59.707816751537905,0,kth,0,230.98132563025212,0.7722755600471619,41940.0,10.0,22925.0,0.0,29685.0,0.1,4.7,4.7,0,tth,0,-4.7,435.777,435.75,0,x,0,435.75
1638747455.3217015,59.75314238179001,59.757816751537916,0,kth,0,230.9313256302521,0.9296672173707812,42399.0,11.0,27573.0,0.0,29659.0,0.1,4.8,4.800000000000001,0,tth,0,-4.800000000000001,440.809,440.77777777777777,0,x,0,440.77777777777777
1638747456.7757437,59.811142381790006,59.80781675153793,0,kth,0,230.8813256302521,0.7007291877658497,42876.0,10.0,20757.0,0.0,29622.0,0.1,4.9,4.9,0,tth,0,-4.9,445.738,445.80555555555554,0,x,0,445.80555555555554
1638747458.0073533,59.85514238179002,59.85781675153791,0,kth,0,230.8313256302521,0.6749241658240647,43009.0,10.0,20025.0,0.0,29670.0,0.1,5.0,5.0,0,tth,0,-5.0,450.83,450.83333333333337,0,x,0,450.83333333333337
1638747459.3900497,59.91114238179003,59.907816751537894,0,kth,0,230.78132563025213,0.4954289376918665,43064.0,10.0,14686.0,0.0,29643.0,0.1,5.1000000000000005,5.1,0,tth,0,-5.1,455.83500000000004,455.8611111111111,0,x,0,455.8611111111111
1638747460.6689906,59.95514238179001,59.957816751537905,0,kth,0,230.73132563025212,0.4922557786401215,42980.0,9.0,14588.0,0.0,29635.0,0.1,5.2,5.2,0,tth,0,-5.2,460.872,460.8888888888889,0,x,0,460.8888888888889
1638747462.0015576,60.00514238179002,60.007816751537916,0,kth,0,230.6813256302521,0.4685770217361955,43050.0,10.0,13883.0,0.0,29628.0,0.1,5.3,5.300000000000001,0,tth,0,-5.300000000000001,465.89,465.91666666666663,0,x,0,465.91666666666663
1638747463.2133617,60.059142381790025,60.05781675153793,0,kth,0,230.6313256302521,0.4543767294324087,43022.0,11.0,13465.0,0.0,29634.0,0.1,5.4,5.4,0,tth,0,-5.4,470.903,470.94444444444446,0,x,0,470.94444444444446
1638747464.4604762,60.10414238179001,60.10781675153791,0,kth,0,230.5813256302521,0.5239347357065803,43086.0,10.0,15542.0,0.0,29664.0,0.1,5.5,5.5,0,tth,0,-5.5,475.946,475.97222222222223,0,x,0,475.97222222222223
1638747465.6888137,60.160142381790024,60.157816751537894,0,kth,0,230.53132563025213,0.5188711093106475,43029.0,11.0,15370.0,0.0,29622.0,0.1,5.6000000000000005,5.6,0,tth,0,-5.6,481.026,481.0,0,x,0,481.0
1638747467.091021,60.20514238179001,60.207816751537905,0,kth,0,230.48132563025212,0.6380188138507704,43248.0,10.0,18923.0,0.0,29659.0,0.1,5.7,5.7,0,tth,0,-5.7,485.96000000000004,486.02777777777777,0,x,0,486.02777777777777
