time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval
1638749340.6439588,11.0,10.0,30.0,0.0,28.0,0.1,-749.9350000000001,-749.934,0,z,0,-749.934
1638749341.4485195,16.0,11.0,0.0,0.0,28.0,0.1,-719.95,-719.934,0,z,0,-719.934
1638749342.1781588,20.0,11.0,0.0,0.0,29.0,0.1,-689.94,-689.934,0,z,0,-689.934
1638749342.8727808,5.0,10.0,0.0,0.0,30.0,0.1,-659.948,-659.934,0,z,0,-659.934
1638749343.5770016,20.0,10.0,21.0,0.0,30.0,0.1,-629.94,-629.934,0,z,0,-629.934
1638749344.3689203,32.0,11.0,13.0,0.0,30.0,0.1,-599.9350000000001,-599.934,0,z,0,-599.934
1638749345.0953,19.0,10.0,0.0,0.0,30.0,0.1,-569.936,-569.934,0,z,0,-569.934
1638749345.849754,1.0,10.0,6.0,0.0,30.0,0.1,-539.9350000000001,-539.934,0,z,0,-539.934
1638749346.5941103,2.0,9.0,29.0,0.0,32.0,0.1,-509.933,-509.934,0,z,0,-509.934
1638749347.349587,22.0,11.0,0.0,0.0,32.0,0.1,-479.955,-479.934,0,z,0,-479.934
1638749348.0448437,26.0,10.0,15.0,0.0,31.0,0.1,-449.939,-449.934,0,z,0,-449.934
1638749348.8123348,6.0,11.0,0.0,0.0,29.0,0.1,-419.943,-419.934,0,z,0,-419.934
1638749349.538725,34.0,10.0,25.0,0.0,31.0,0.1,-389.942,-389.934,0,z,0,-389.934
1638749350.2830565,23.0,11.0,0.0,0.0,30.0,0.1,-359.937,-359.934,0,z,0,-359.934
1638749350.9591103,10.0,10.0,0.0,0.0,30.0,0.1,-329.942,-329.934,0,z,0,-329.934
1638749351.660138,12.0,11.0,0.0,0.0,29.0,0.1,-299.934,-299.934,0,z,0,-299.934
1638749352.4366567,18.0,10.0,10.0,0.0,31.0,0.1,-269.94,-269.934,0,z,0,-269.934
1638749353.1220396,23.0,10.0,4.0,0.0,30.0,0.1,-239.93800000000002,-239.934,0,z,0,-239.934
1638749353.8662765,16.0,11.0,12.0,0.0,28.0,0.1,-209.937,-209.934,0,z,0,-209.934
1638749354.5797534,19.0,10.0,22.0,0.0,30.0,0.1,-179.93200000000002,-179.934,0,z,0,-179.934
1638749355.4532635,15.0,11.0,9.0,0.0,27.0,0.1,-149.937,-149.934,0,z,0,-149.934
1638749356.2133222,24.0,11.0,0.0,0.0,32.0,0.1,-119.94,-119.934,0,z,0,-119.934
1638749356.983538,24.0,10.0,1.0,0.0,30.0,0.1,-89.937,-89.934,0,z,0,-89.934
1638749357.714787,11.0,11.0,0.0,0.0,30.0,0.1,-59.948,-59.934,0,z,0,-59.934
1638749358.4461057,16.0,10.0,0.0,0.0,31.0,0.1,-29.936,-29.934,0,z,0,-29.934
1638749359.1887765,30.0,10.0,0.0,0.0,30.0,0.1,0.055,0.066,0,z,0,0.066
1638749359.8975239,3.0,10.0,14.0,0.0,30.0,0.1,30.068,30.066,0,z,0,30.066
1638749360.612019,1.0,10.0,2.0,0.0,31.0,0.1,60.049,60.066,0,z,0,60.066
1638749361.3392076,24.0,11.0,0.0,0.0,29.0,0.1,90.065,90.066,0,z,0,90.066
1638749362.0252855,26.0,10.0,24.0,0.0,31.0,0.1,120.06,120.066,0,z,0,120.066
1638749362.7741928,18.0,10.0,0.0,0.0,29.0,0.1,150.064,150.066,0,z,0,150.066
1638749363.5861633,15.0,10.0,31.0,0.0,29.0,0.1,180.067,180.066,0,z,0,180.066
1638749364.2997963,28.0,10.0,0.0,0.0,28.0,0.1,210.05700000000002,210.066,0,z,0,210.066
1638749365.060301,12.0,10.0,30.0,0.0,29.0,0.1,240.064,240.066,0,z,0,240.066
1638749365.7661579,24.0,10.0,0.0,0.0,29.0,0.1,270.063,270.066,0,z,0,270.066
1638749366.4825058,21.0,11.0,7.0,0.0,29.0,0.1,300.061,300.066,0,z,0,300.066
1638749367.2067537,6.0,10.0,0.0,0.0,30.0,0.1,330.059,330.066,0,z,0,330.066
1638749367.9214468,4.0,10.0,5.0,0.0,29.0,0.1,360.073,360.066,0,z,0,360.066
1638749368.6924515,25.0,10.0,0.0,0.0,30.0,0.1,390.077,390.066,0,z,0,390.066
1638749369.4122794,0.0,11.0,0.0,0.0,30.0,0.1,420.063,420.066,0,z,0,420.066
1638749370.15452,27.0,10.0,0.0,0.0,27.0,0.1,450.06100000000004,450.066,0,z,0,450.066
1638749370.9260721,21.0,10.0,8.0,0.0,32.0,0.1,480.06600000000003,480.066,0,z,0,480.066
1638749371.6730618,18.0,10.0,0.0,0.0,30.0,0.1,510.06600000000003,510.066,0,z,0,510.066
1638749372.4558382,35.0,11.0,13.0,0.0,31.0,0.1,540.061,540.066,0,z,0,540.066
1638749373.2758718,27.0,10.0,0.0,0.0,29.0,0.1,570.067,570.066,0,z,0,570.066
1638749374.017494,14.0,11.0,0.0,0.0,29.0,0.1,600.067,600.066,0,z,0,600.066
1638749374.7996368,26.0,9.0,0.0,0.0,28.0,0.1,630.054,630.066,0,z,0,630.066
1638749375.548411,20.0,10.0,23.0,0.0,31.0,0.1,660.061,660.066,0,z,0,660.066
1638749376.2809656,11.0,10.0,1.0,0.0,28.0,0.1,690.072,690.066,0,z,0,690.066
1638749377.1310246,16.0,10.0,0.0,0.0,30.0,0.1,720.065,720.066,0,z,0,720.066
1638749377.8663568,29.0,10.0,8.0,0.0,30.0,0.1,750.051,750.066,0,z,0,750.066
