time,TEYcalc,TEY,mesh,scaler_time,mono_energy_setpoint,mono_energy
1638516967.9753408,1.4323362707376608,34621.0,24171.0,1.0,515.0,514.9879526
1638516971.8588312,1.424401768023167,37382.0,26244.0,1.0,516.0,515.9831592
1638516975.8651297,1.4134978330770307,40443.0,28612.0,1.0,517.0,517.008383
1638516979.864716,1.4138251506217152,44117.0,31204.0,1.0,518.0,517.984196
1638516983.8666062,1.4182492712657893,48168.0,33963.0,1.0,519.0,518.9987366
1638516987.8714101,1.4130806149841373,52113.0,36879.0,1.0,520.0,519.992885
1638516991.8752468,1.4200662351347282,56601.0,39858.0,1.0,521.0,521.0093168
1638516995.8755808,1.4255869803446104,61142.0,42889.0,1.0,522.0,522.0024004
1638516999.8792284,1.427356361742753,65784.0,46088.0,1.0,523.0,522.9946166
1638517003.887116,1.4338193600648035,70802.0,49380.0,1.0,524.0,524.0038249
1638517008.0825095,1.4383905960615337,76111.0,52914.0,1.0,525.0,524.995514
1638517012.0849102,1.4467404111636741,82266.0,56863.0,1.0,526.0,526.0122556
1638517016.0874903,1.445597207268931,88618.0,61302.0,1.0,527.0,527.000116
1638517020.0957727,1.4501840314845207,91015.0,62761.0,1.0,527.25,527.2520033
1638517024.0915534,1.454021825427713,93402.0,64237.0,1.0,527.5,527.4990313
1638517028.0938883,1.4567166924716017,95026.0,65233.0,1.0,527.75,527.7651587
1638517032.0991132,1.4563790715876934,96756.0,66436.0,1.0,528.0,527.9938369
1638517036.0966454,1.4586520251919493,99359.0,68117.0,1.0,528.25,528.238313
1638517040.0987759,1.4594768992514842,101781.0,69738.0,1.0,528.5,528.4983791
1638517044.1056218,1.462944233740694,104147.0,71190.0,1.0,528.75,528.7636182
1638517048.1060004,1.4624239253160025,106210.0,72626.0,1.0,529.0,529.0026548
1638517052.1086211,1.465495709624139,109134.0,74469.0,1.0,529.25,529.2388063
1638517056.109109,1.4656364588789943,111916.0,76360.0,1.0,529.5,529.5009776
1638517060.3086748,1.4668858438106,114222.0,77867.0,1.0,529.75,529.7627719
1638517064.3132162,1.4684284112808756,116580.0,79391.0,1.0,530.0,530.0144503
1638517068.3156228,1.4682068646683244,117505.0,80033.0,1.0,530.1,530.088502
1638517072.3186026,1.4686321775140614,118805.0,80895.0,1.0,530.2,530.201752
1638517076.3184383,1.470539419087137,120496.0,81940.0,1.0,530.3000000000001,530.2955818
1638517080.3196816,1.4699754015337867,121908.0,82932.0,1.0,530.4000000000001,530.3965271
1638517084.327819,1.4696594317144585,123979.0,84359.0,1.0,530.5000000000001,530.4968503
1638517088.323928,1.4696868676234924,125645.0,85491.0,1.0,530.6000000000001,530.5963633
1638517092.3309028,1.469661751951431,127089.0,86475.0,1.0,530.7000000000002,530.7038803
1638517096.3281987,1.4686688701579422,128416.0,87437.0,1.0,530.8000000000002,530.7976784
1638517100.3293502,1.4683701595047671,129986.0,88524.0,1.0,530.9000000000002,530.914347
1638517104.3347476,1.4683460946045495,131555.0,89594.0,1.0,531.0000000000002,531.0175359
1638517108.3352928,1.4708837885782915,133493.0,90757.0,1.0,531.1000000000003,531.0960394
1638517112.3370411,1.4746755285177688,136232.0,92381.0,1.0,531.2000000000003,531.1971242
1638517116.5393546,1.48331938426333,140012.0,94391.0,1.0,531.3000000000003,531.2942718
1638517120.5414875,1.4996482297680385,144947.0,96654.0,1.0,531.4000000000003,531.3933772
1638517124.5444167,1.5238023181914475,151053.0,99129.0,1.0,531.5000000000003,531.4900827
1638517128.548804,1.5585813868649123,158076.0,101423.0,1.0,531.6000000000004,531.5944076
1638517132.54687,1.59540143014941,164655.0,103206.0,1.0,531.7000000000004,531.7059296
1638517136.5518198,1.6349430328454975,171481.0,104885.0,1.0,531.8000000000004,531.8104776
1638517140.5512373,1.6679981535041029,177053.0,106147.0,1.0,531.9000000000004,531.9150889
1638517144.5541267,1.6966381872213967,182694.0,107680.0,1.0,532.0000000000005,532.0041114
1638517148.566301,1.7165900527852753,186341.0,108553.0,1.0,532.1000000000005,532.1038142
