time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638557686.3147247,2.0,2.0,0,tth,0,-2.0,58.32214238179,58.32239670795883,0,kth,0,232.3667456738312,52558.0,9.0,33008.0,0.0,21032.0,0.1
1638557687.4099927,2.1,2.1,0,tth,0,-2.1,58.36814238179002,58.37239670795881,0,kth,0,232.3167456738312,56938.0,10.0,33757.0,0.0,21010.0,0.1
1638557688.4480984,2.2,2.2,0,tth,0,-2.2,58.420142381790015,58.422396707958825,0,kth,0,232.2667456738312,62344.0,10.0,34799.0,0.0,21029.0,0.1
1638557689.4184117,2.3000000000000003,2.3,0,tth,0,-2.3,58.47114238179,58.47239670795881,0,kth,0,232.2167456738312,68065.0,10.0,35885.0,0.0,20995.0,0.1
1638557690.7149386,2.4,2.4,0,tth,0,-2.4,58.51814238179003,58.52239670795882,0,kth,0,232.1667456738312,71926.0,10.0,36752.0,0.0,21027.0,0.1
1638557691.6608887,2.5,2.5,0,tth,0,-2.5,58.57214238179,58.57239670795883,0,kth,0,232.1167456738312,72186.0,10.0,37590.0,0.0,21027.0,0.1
1638557692.6759598,2.6,2.6,0,tth,0,-2.6,58.61814238179002,58.62239670795881,0,kth,0,232.0667456738312,72186.0,10.0,37906.0,0.0,21029.0,0.1
1638557693.6494682,2.7,2.7,0,tth,0,-2.7,58.67114238179002,58.672396707958825,0,kth,0,232.0167456738312,72187.0,10.0,38055.0,0.0,21042.0,0.1
1638557695.7764506,2.8000000000000003,2.8,0,tth,0,-2.8,58.72714238179,58.72239670795881,0,kth,0,231.9667456738312,72187.0,10.0,38077.0,0.0,21029.0,0.1
1638557696.9617367,2.9,2.9,0,tth,0,-2.9,58.76814238179003,58.77239670795882,0,kth,0,231.9167456738312,72187.0,10.0,37578.0,0.0,21027.0,0.1
1638557697.9283574,3.0,3.0,0,tth,0,-3.0,58.81814238179001,58.82239670795883,0,kth,0,231.8667456738312,72189.0,10.0,36912.0,0.0,21008.0,0.1
1638557698.8564224,3.1,3.1,0,tth,0,-3.1,58.87214238179001,58.87239670795881,0,kth,0,231.8167456738312,72189.0,9.0,36146.0,0.0,21039.0,0.1
1638557700.6572251,3.2,3.2,0,tth,0,-3.2,58.92714238179002,58.922396707958825,0,kth,0,231.7667456738312,72192.0,10.0,35178.0,0.0,21013.0,0.1
1638557701.803147,3.3000000000000003,3.3,0,tth,0,-3.3,58.96814238179002,58.97239670795881,0,kth,0,231.7167456738312,72195.0,10.0,34035.0,0.0,21005.0,0.1
1638557702.821273,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004,59.023142381790024,59.02239670795882,0,kth,0,231.6667456738312,72194.0,9.0,32735.0,0.0,21023.0,0.1
1638557703.8586242,3.5,3.5,0,tth,0,-3.5,59.071142381790025,59.07239670795883,0,kth,0,231.6167456738312,72194.0,9.0,31175.0,0.0,21012.0,0.1
1638557705.1760638,3.6,3.6,0,tth,0,-3.6,59.12714238179001,59.12239670795881,0,kth,0,231.5667456738312,72195.0,9.0,28948.0,0.0,21102.0,0.1
1638557706.1231272,3.7,3.7,0,tth,0,-3.7,59.16914238179001,59.172396707958825,0,kth,0,231.5167456738312,72196.0,10.0,26210.0,0.0,21098.0,0.1
1638557707.4150014,3.8000000000000003,3.8,0,tth,0,-3.8,59.22714238179,59.22239670795881,0,kth,0,231.4667456738312,72197.0,10.0,23001.0,0.0,21083.0,0.1
1638557708.3679984,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004,59.26814238179003,59.27239670795882,0,kth,0,231.4167456738312,72197.0,10.0,19291.0,0.0,21091.0,0.1
1638557709.3298535,4.0,4.0,0,tth,0,-4.0,59.321142381790025,59.32239670795883,0,kth,0,231.3667456738312,72198.0,9.0,16265.0,0.0,21094.0,0.1
1638557710.4266016,4.1,4.1,0,tth,0,-4.1,59.36914238179003,59.37239670795881,0,kth,0,231.3167456738312,72197.0,9.0,12866.0,0.0,21095.0,0.1
1638557711.5186946,4.2,4.2,0,tth,0,-4.2,59.41914238179001,59.422396707958825,0,kth,0,231.2667456738312,72198.0,11.0,10024.0,0.0,21083.0,0.1
1638557712.6166894,4.3,4.300000000000001,0,tth,0,-4.300000000000001,59.46814238179002,59.47239670795881,0,kth,0,231.2167456738312,72199.0,10.0,7583.0,0.0,21109.0,0.1
1638557713.6570027,4.4,4.4,0,tth,0,-4.4,59.52014238179001,59.52239670795882,0,kth,0,231.1667456738312,72200.0,10.0,5996.0,0.0,21084.0,0.1
1638557714.7153337,4.5,4.5,0,tth,0,-4.5,59.569142381790016,59.57239670795883,0,kth,0,231.1167456738312,72199.0,9.0,5224.0,0.0,21090.0,0.1
1638557715.6881099,4.6000000000000005,4.6,0,tth,0,-4.6,59.61914238179003,59.62239670795881,0,kth,0,231.0667456738312,72200.0,10.0,5545.0,0.0,21057.0,0.1
1638557716.8422687,4.7,4.7,0,tth,0,-4.7,59.66914238179001,59.672396707958825,0,kth,0,231.0167456738312,72199.0,9.0,6228.0,0.0,21081.0,0.1
1638557717.844109,4.8,4.800000000000001,0,tth,0,-4.800000000000001,59.720142381790026,59.72239670795881,0,kth,0,230.9667456738312,72200.0,10.0,7055.0,0.0,21093.0,0.1
