time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638568001.917323,6242.0,9.0,33687.0,0.0,18163.0,0.1,58.32214238179,58.32239670795883,0,kth,0,232.3667456738312,2.0,2.0,0,tth,0,-2.0
1638568002.9733746,6739.0,8.0,34935.0,0.0,18173.0,0.1,58.37214238179001,58.37239670795881,0,kth,0,232.3167456738312,2.1,2.1,0,tth,0,-2.1
1638568003.988869,7264.0,9.0,36234.0,0.0,18180.0,0.1,58.41914238179001,58.422396707958825,0,kth,0,232.2667456738312,2.2,2.2,0,tth,0,-2.2
1638568005.2348146,7833.0,9.0,37471.0,0.0,18188.0,0.1,58.46814238179002,58.47239670795881,0,kth,0,232.2167456738312,2.3000000000000003,2.3,0,tth,0,-2.3
1638568006.4540293,8460.0,9.0,38595.0,0.0,18182.0,0.1,58.51814238179003,58.52239670795882,0,kth,0,232.1667456738312,2.4,2.4,0,tth,0,-2.4
1638568007.5458727,9121.0,8.0,39725.0,0.0,18185.0,0.1,58.571142381790025,58.57239670795883,0,kth,0,232.1167456738312,2.5,2.5,0,tth,0,-2.5
1638568008.8372705,9805.0,9.0,40383.0,0.0,18189.0,0.1,58.61814238179002,58.62239670795881,0,kth,0,232.0667456738312,2.6,2.6,0,tth,0,-2.6
1638568010.7393143,10579.0,9.0,40993.0,0.0,18173.0,0.1,58.67714238179002,58.672396707958825,0,kth,0,232.0167456738312,2.7,2.7,0,tth,0,-2.7
1638568011.9433906,11129.0,9.0,41033.0,0.0,18165.0,0.1,58.71814238179002,58.72239670795881,0,kth,0,231.9667456738312,2.8000000000000003,2.8,0,tth,0,-2.8
1638568012.9656482,11698.0,8.0,41324.0,0.0,18153.0,0.1,58.777142381790014,58.77239670795882,0,kth,0,231.9167456738312,2.9,2.9,0,tth,0,-2.9
1638568014.1236987,12303.0,9.0,41398.0,0.0,18143.0,0.1,58.81814238179001,58.82239670795883,0,kth,0,231.8667456738312,3.0,3.0,0,tth,0,-3.0
1638568015.1680186,13073.0,8.0,42004.0,0.0,18163.0,0.1,58.87314238179002,58.87239670795881,0,kth,0,231.8167456738312,3.1,3.1,0,tth,0,-3.1
1638568016.3351831,13763.0,10.0,42235.0,0.0,18168.0,0.1,58.92714238179002,58.922396707958825,0,kth,0,231.7667456738312,3.2,3.2,0,tth,0,-3.2
1638568017.365216,14538.0,9.0,42402.0,0.0,18154.0,0.1,58.97514238179002,58.97239670795881,0,kth,0,231.7167456738312,3.3000000000000003,3.3,0,tth,0,-3.3
1638568018.3391225,15230.0,9.0,42563.0,0.0,18168.0,0.1,59.021142381790014,59.02239670795882,0,kth,0,231.6667456738312,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004
1638568019.3129137,16185.0,9.0,42877.0,0.0,18179.0,0.1,59.077142381790026,59.07239670795883,0,kth,0,231.6167456738312,3.5,3.5,0,tth,0,-3.5
1638568020.3541589,16952.0,9.0,42761.0,0.0,18159.0,0.1,59.126142381790004,59.12239670795881,0,kth,0,231.5667456738312,3.6,3.6,0,tth,0,-3.6
1638568021.3243935,17883.0,9.0,42580.0,0.0,18165.0,0.1,59.17514238179001,59.172396707958825,0,kth,0,231.5167456738312,3.7,3.7,0,tth,0,-3.7
1638568022.4207714,18658.0,10.0,42187.0,0.0,18167.0,0.1,59.22714238179,59.22239670795881,0,kth,0,231.4667456738312,3.8000000000000003,3.8,0,tth,0,-3.8
1638568023.5543694,19400.0,9.0,40010.0,0.0,18165.0,0.1,59.269142381790004,59.27239670795882,0,kth,0,231.4167456738312,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004
1638568024.6211264,20222.0,9.0,40511.0,0.0,18145.0,0.1,59.321142381790025,59.32239670795883,0,kth,0,231.3667456738312,4.0,4.0,0,tth,0,-4.0
1638568025.8468983,20919.0,9.0,37051.0,0.0,18198.0,0.1,59.36914238179003,59.37239670795881,0,kth,0,231.3167456738312,4.1,4.1,0,tth,0,-4.1
1638568026.8377056,21772.0,8.0,36047.0,0.0,18219.0,0.1,59.420142381790015,59.422396707958825,0,kth,0,231.2667456738312,4.2,4.2,0,tth,0,-4.2
1638568028.0874708,22432.0,10.0,33864.0,0.0,18235.0,0.1,59.46814238179002,59.47239670795881,0,kth,0,231.2167456738312,4.3,4.300000000000001,0,tth,0,-4.300000000000001
1638568029.167677,23120.0,9.0,32089.0,0.0,18221.0,0.1,59.51814238179003,59.52239670795882,0,kth,0,231.1667456738312,4.4,4.4,0,tth,0,-4.4
1638568030.258115,23851.0,10.0,30329.0,0.0,18220.0,0.1,59.57014238179002,59.57239670795883,0,kth,0,231.1167456738312,4.5,4.5,0,tth,0,-4.5
1638568031.2882705,24443.0,9.0,27988.0,0.0,18227.0,0.1,59.61814238179002,59.62239670795881,0,kth,0,231.0667456738312,4.6000000000000005,4.6,0,tth,0,-4.6
1638568032.2963011,24999.0,9.0,26732.0,0.0,18214.0,0.1,59.674142381790006,59.672396707958825,0,kth,0,231.0167456738312,4.7,4.7,0,tth,0,-4.7
1638568033.3694475,25536.0,10.0,22983.0,0.0,18230.0,0.1,59.71814238179002,59.72239670795881,0,kth,0,230.9667456738312,4.8,4.800000000000001,0,tth,0,-4.800000000000001
1638568035.6732187,26336.0,9.0,21101.0,0.0,18210.0,0.1,59.777142381790014,59.77239670795882,0,kth,0,230.9167456738312,4.9,4.9,0,tth,0,-4.9
1638568036.9524772,26274.0,9.0,17324.0,0.0,18208.0,0.1,59.81814238179001,59.82239670795883,0,kth,0,230.8667456738312,5.0,5.0,0,tth,0,-5.0
1638568038.9030175,26601.0,9.0,15510.0,0.0,18193.0,0.1,59.87714238179001,59.87239670795881,0,kth,0,230.8167456738312,5.1000000000000005,5.1,0,tth,0,-5.1
1638568040.3601372,26591.0,9.0,12552.0,0.0,18219.0,0.1,59.91914238179001,59.922396707958825,0,kth,0,230.7667456738312,5.2,5.2,0,tth,0,-5.2
1638568041.811146,26503.0,10.0,11382.0,0.0,18206.0,0.1,59.97714238179,59.97239670795881,0,kth,0,230.7167456738312,5.3,5.300000000000001,0,tth,0,-5.300000000000001
1638568043.1877108,26302.0,9.0,8926.0,0.0,18226.0,0.1,60.01814238179003,60.02239670795882,0,kth,0,230.6667456738312,5.4,5.4,0,tth,0,-5.4
1638568044.5652843,25849.0,9.0,8674.0,0.0,18209.0,0.1,60.077142381790026,60.07239670795883,0,kth,0,230.6167456738312,5.5,5.5,0,tth,0,-5.5
1638568045.5895317,25225.0,9.0,7453.0,0.0,18211.0,0.1,60.12314238179002,60.12239670795881,0,kth,0,230.5667456738312,5.6000000000000005,5.6,0,tth,0,-5.6
1638568046.6162932,24598.0,9.0,6796.0,0.0,18203.0,0.1,60.17314238179003,60.172396707958825,0,kth,0,230.5167456738312,5.7,5.7,0,tth,0,-5.7
1638568047.6965191,24094.0,10.0,6231.0,0.0,18206.0,0.1,60.22114238179,60.22239670795881,0,kth,0,230.4667456738312,5.8,5.800000000000001,0,tth,0,-5.800000000000001
