time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638577204.9186504,1.386445766386835,69.57314238179,69.57239670795883,0,kth,0,221.1167456738312,4608.0,9.0,24938.0,0.0,17987.0,0.1,24.5,24.5,0,tth,0,-24.5
1638577205.6679938,1.4698426816387793,69.61814238179002,69.62239670795881,0,kth,0,221.0667456738312,4590.0,10.0,26441.0,0.0,17989.0,0.1,24.6,24.6,0,tth,0,-24.6
1638577206.2993586,1.5002504870581688,69.67214238179002,69.6723967079588,0,kth,0,221.01674567383122,4559.0,10.0,26952.0,0.0,17965.0,0.1,24.7,24.7,0,tth,0,-24.7
1638577206.9531357,1.4986368441551217,69.72114238179,69.72239670795881,0,kth,0,220.9667456738312,4543.0,10.0,26935.0,0.0,17973.0,0.1,24.8,24.8,0,tth,0,-24.8
1638577207.6429756,1.487893125521848,69.77414238179003,69.77239670795882,0,kth,0,220.9167456738312,4499.0,11.0,26730.0,0.0,17965.0,0.1,24.900000000000002,24.9,0,tth,0,-24.9
1638577208.3103278,1.4598321009618058,69.82114238179003,69.82239670795883,0,kth,0,220.8667456738312,4417.0,10.0,26258.0,0.0,17987.0,0.1,25.0,25.0,0,tth,0,-25.0
1638577208.9643657,1.461739517295073,69.87714238179001,69.87239670795881,0,kth,0,220.8167456738312,4419.0,10.0,26285.0,0.0,17982.0,0.1,25.1,25.1,0,tth,0,-25.1
1638577209.6224098,1.3949593857794593,69.92214238179002,69.9223967079588,0,kth,0,220.76674567383122,4364.0,10.0,25073.0,0.0,17974.0,0.1,25.2,25.2,0,tth,0,-25.2
1638577210.2943227,1.3885304260763156,69.97514238179002,69.97239670795881,0,kth,0,220.7167456738312,4386.0,10.0,24963.0,0.0,17978.0,0.1,25.3,25.3,0,tth,0,-25.3
1638577210.9338775,1.3148086337338674,70.02014238179001,70.02239670795882,0,kth,0,220.6667456738312,4388.0,10.0,23635.0,0.0,17976.0,0.1,25.400000000000002,25.4,0,tth,0,-25.4
1638577211.5844412,1.2753824756606398,70.06914238179002,70.07239670795883,0,kth,0,220.6167456738312,4296.0,10.0,22925.0,0.0,17975.0,0.1,25.5,25.5,0,tth,0,-25.5
1638577212.2196949,1.242864296444667,70.12014238179,70.12239670795881,0,kth,0,220.5667456738312,4381.0,11.0,22338.0,0.0,17973.0,0.1,25.6,25.6,0,tth,0,-25.6
