time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638655046.2896729,4.402546846133545,58.32214238179,58.32239670795883,0,kth,0,232.3667456738312,4754.0,10.0,66725.0,0.0,15156.0,0.1,2.0,2.0,0,tth,0,-2.0,4407.607,4405.0,0,x,0,4405.0
1638655047.874564,4.743932999208652,58.37214238179001,58.37239670795881,0,kth,0,232.3167456738312,4428.0,10.0,71937.0,0.0,15164.0,0.1,2.1,2.1,0,tth,0,-2.1,4402.467,4399.972222222223,0,x,0,4399.972222222223
1638655050.6182914,4.801916088536505,58.422142381790025,58.422396707958825,0,kth,0,232.2667456738312,4230.0,10.0,72677.0,0.0,15135.0,0.1,2.2,2.2,0,tth,0,-2.2,4397.552,4394.944444444444,0,x,0,4394.944444444444
1638655053.167098,4.802312520647506,58.47214238179001,58.47239670795881,0,kth,0,232.2167456738312,4339.0,10.0,72683.0,0.0,15135.0,0.1,2.3000000000000003,2.3,0,tth,0,-2.3,4392.659,4389.916666666667,0,x,0,4389.916666666667
1638655055.6318884,4.791889571362526,58.523142381790024,58.52239670795882,0,kth,0,232.1667456738312,4263.0,10.0,72554.0,0.0,15141.0,0.1,2.4,2.4,0,tth,0,-2.4,4386.469,4384.888888888889,0,x,0,4384.888888888889
1638655058.1162262,4.799616934152302,58.57214238179,58.57239670795883,0,kth,0,232.1167456738312,4341.0,9.0,72671.0,0.0,15141.0,0.1,2.5,2.5,0,tth,0,-2.5,4382.186,4379.861111111111,0,x,0,4379.861111111111
1638655059.7304173,4.799286940446322,58.62514238179003,58.62239670795881,0,kth,0,232.0667456738312,4639.0,10.0,72690.0,0.0,15146.0,0.1,2.6,2.6,0,tth,0,-2.6,4377.233,4374.833333333333,0,x,0,4374.833333333333
1638655061.339805,4.7987193028782675,58.672142381790025,58.672396707958825,0,kth,0,232.0167456738312,4696.0,11.0,72691.0,0.0,15148.0,0.1,2.7,2.7,0,tth,0,-2.7,4372.712,4369.805555555556,0,x,0,4369.805555555556
1638655062.9501858,4.8043219666931005,58.73314238179,58.72239670795881,0,kth,0,231.9667456738312,4959.0,10.0,72699.0,0.0,15132.0,0.1,2.8000000000000003,2.8,0,tth,0,-2.8,4367.644,4364.777777777777,0,x,0,4364.777777777777
1638655064.563936,4.79125156693277,58.771142381790014,58.77239670795882,0,kth,0,231.9167456738312,4927.0,10.0,72621.0,0.0,15157.0,0.1,2.9,2.9,0,tth,0,-2.9,4362.643,4359.75,0,x,0,4359.75
