time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,D3,scaler_time
1638589502.2789965,-1250.006,-1250.0,0,z,0,-1250.0,21589.0,0.1
1638589502.5915942,-1240.002,-1240.0,0,z,0,-1240.0,21583.0,0.1
1638589502.9038255,-1230.003,-1230.0,0,z,0,-1230.0,21599.0,0.1
1638589503.2121809,-1220.001,-1220.0,0,z,0,-1220.0,21568.0,0.1
1638589503.5188482,-1209.997,-1210.0,0,z,0,-1210.0,21598.0,0.1
1638589503.815064,-1199.997,-1200.0,0,z,0,-1200.0,21573.0,0.1
1638589504.1148367,-1190.01,-1190.0,0,z,0,-1190.0,21673.0,0.1
1638589504.4148328,-1180.002,-1180.0,0,z,0,-1180.0,21661.0,0.1
1638589504.7127101,-1170.002,-1170.0,0,z,0,-1170.0,21627.0,0.1
1638589504.958268,-1160.0140000000001,-1160.0,0,z,0,-1160.0,21641.0,0.1
1638589505.2118573,-1150.007,-1150.0,0,z,0,-1150.0,21634.0,0.1
1638589505.4583912,-1140.007,-1140.0,0,z,0,-1140.0,21645.0,0.1
1638589505.7047517,-1130.002,-1130.0,0,z,0,-1130.0,21651.0,0.1
1638589505.9507532,-1120.015,-1120.0,0,z,0,-1120.0,21645.0,0.1
1638589506.19569,-1110.019,-1110.0,0,z,0,-1110.0,21640.0,0.1
1638589506.441799,-1100.018,-1100.0,0,z,0,-1100.0,21668.0,0.1
1638589506.6874278,-1090.009,-1090.0,0,z,0,-1090.0,21640.0,0.1
1638589506.9360647,-1080.012,-1080.0,0,z,0,-1080.0,21639.0,0.1
1638589507.182524,-1070.0140000000001,-1070.0,0,z,0,-1070.0,21656.0,0.1
1638589507.435242,-1060.012,-1060.0,0,z,0,-1060.0,21679.0,0.1
1638589507.6787653,-1050.007,-1050.0,0,z,0,-1050.0,21642.0,0.1
1638589507.923936,-1039.999,-1040.0,0,z,0,-1040.0,21619.0,0.1
1638589508.1647315,-1029.994,-1030.0,0,z,0,-1030.0,21627.0,0.1
1638589508.4147546,-1020.017,-1020.0,0,z,0,-1020.0,21644.0,0.1
1638589508.6594632,-1010.009,-1010.0,0,z,0,-1010.0,21630.0,0.1
1638589508.9026988,-999.994,-1000.0,0,z,0,-1000.0,21625.0,0.1
1638589509.1452181,-990.008,-990.0,0,z,0,-990.0,21615.0,0.1
1638589509.391737,-980.0020000000001,-980.0,0,z,0,-980.0,21633.0,0.1
1638589509.6379843,-969.9920000000001,-970.0,0,z,0,-970.0,21624.0,0.1
1638589509.8792262,-960.006,-960.0,0,z,0,-960.0,21588.0,0.1
1638589510.1809793,-950.01,-950.0,0,z,0,-950.0,21638.0,0.1
1638589510.4334347,-940.0070000000001,-940.0,0,z,0,-940.0,21621.0,0.1
1638589510.732141,-929.993,-930.0,0,z,0,-930.0,21620.0,0.1
1638589511.0513442,-920.006,-920.0,0,z,0,-920.0,21627.0,0.1
1638589511.3597043,-910.006,-910.0,0,z,0,-910.0,21620.0,0.1
1638589511.661801,-900.009,-900.0,0,z,0,-900.0,21625.0,0.1
1638589511.9666476,-889.998,-890.0,0,z,0,-890.0,21578.0,0.1
1638589512.2836728,-879.999,-880.0,0,z,0,-880.0,21572.0,0.1
1638589512.6021016,-870.006,-870.0,0,z,0,-870.0,21579.0,0.1
1638589512.898877,-859.995,-860.0,0,z,0,-860.0,21575.0,0.1
1638589513.2050717,-850.003,-850.0,0,z,0,-850.0,21567.0,0.1
1638589513.5036335,-840.001,-840.0,0,z,0,-840.0,21580.0,0.1
1638589513.8122199,-829.992,-830.0,0,z,0,-830.0,21569.0,0.1
1638589514.1100242,-820.0,-820.0,0,z,0,-820.0,21573.0,0.1
1638589514.4113154,-810.001,-810.0,0,z,0,-810.0,21565.0,0.1
1638589514.7192073,-800.004,-800.0,0,z,0,-800.0,21541.0,0.1
1638589515.0166526,-790.0070000000001,-790.0,0,z,0,-790.0,21554.0,0.1
1638589515.3195317,-780.006,-780.0,0,z,0,-780.0,21515.0,0.1
1638589515.6767025,-770.005,-770.0,0,z,0,-770.0,21509.0,0.1
1638589515.9862158,-760.0020000000001,-760.0,0,z,0,-760.0,21511.0,0.1
1638589516.2972918,-749.99,-750.0,0,z,0,-750.0,21466.0,0.1
1638589516.6061325,-740.0,-740.0,0,z,0,-740.0,21457.0,0.1
1638589516.9096746,-730.0,-730.0,0,z,0,-730.0,21458.0,0.1
1638589517.2071917,-720.0120000000001,-720.0,0,z,0,-720.0,21433.0,0.1
1638589517.504497,-710.006,-710.0,0,z,0,-710.0,21434.0,0.1
1638589517.810037,-700.0020000000001,-700.0,0,z,0,-700.0,21404.0,0.1
1638589518.1097481,-689.998,-690.0,0,z,0,-690.0,21370.0,0.1
1638589518.4142551,-680.001,-680.0,0,z,0,-680.0,21348.0,0.1
1638589518.7115068,-670.008,-670.0,0,z,0,-670.0,21320.0,0.1
1638589519.0166733,-660.0020000000001,-660.0,0,z,0,-660.0,21315.0,0.1
1638589519.317865,-650.011,-650.0,0,z,0,-650.0,21265.0,0.1
1638589519.620899,-640.0070000000001,-640.0,0,z,0,-640.0,21229.0,0.1
1638589519.9216716,-630.004,-630.0,0,z,0,-630.0,21184.0,0.1
1638589520.1684477,-620.009,-620.0,0,z,0,-620.0,21133.0,0.1
1638589520.4700458,-609.997,-610.0,0,z,0,-610.0,21124.0,0.1
1638589520.713412,-600.001,-600.0,0,z,0,-600.0,21050.0,0.1
1638589521.014564,-589.992,-590.0,0,z,0,-590.0,21006.0,0.1
1638589521.3184032,-579.997,-580.0,0,z,0,-580.0,20953.0,0.1
1638589521.6345499,-570.0,-570.0,0,z,0,-570.0,20826.0,0.1
1638589521.932081,-560.005,-560.0,0,z,0,-560.0,20757.0,0.1
1638589522.2410657,-550.009,-550.0,0,z,0,-550.0,20639.0,0.1
1638589522.54463,-539.999,-540.0,0,z,0,-540.0,20535.0,0.1
1638589522.8439085,-530.005,-530.0,0,z,0,-530.0,20454.0,0.1
1638589523.0942404,-520.02,-520.0,0,z,0,-520.0,20405.0,0.1
1638589523.3489234,-510.01,-510.0,0,z,0,-510.0,20319.0,0.1
1638589523.5967972,-500.005,-500.0,0,z,0,-500.0,20185.0,0.1
1638589523.8374271,-490.00600000000003,-490.0,0,z,0,-490.0,20020.0,0.1
1638589524.0777206,-479.998,-480.0,0,z,0,-480.0,19856.0,0.1
1638589524.3238049,-469.998,-470.0,0,z,0,-470.0,19676.0,0.1
1638589524.5651634,-460.009,-460.0,0,z,0,-460.0,19540.0,0.1
1638589524.8075557,-450.012,-450.0,0,z,0,-450.0,19414.0,0.1
