time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638585427.133651,-4800.06,-4800.0,0,x,0,-4800.0,4325.0,636.0,28779.0,0.0,14542.0,0.1,1.9790262687388254,67.32214238179,67.32239670795883,0,kth,0,223.3667456738312,20.0,20.0,0,tth,0,-20.0
1638585427.7959049,-4804.997,-4805.013888888889,0,x,0,-4805.013888888889,4254.0,624.0,31735.0,0.0,14532.0,0.1,2.1838012661712085,67.37414238179002,67.37239670795881,0,kth,0,223.3167456738312,20.1,20.1,0,tth,0,-20.1
1638585428.617974,-4809.996,-4810.027777777777,0,x,0,-4810.027777777777,4299.0,645.0,31657.0,0.0,14535.0,0.1,2.177984176126591,67.42714238179002,67.4223967079588,0,kth,0,223.26674567383122,20.2,20.2,0,tth,0,-20.2
1638585429.3317754,-4814.973,-4815.041666666667,0,x,0,-4815.041666666667,4289.0,631.0,26775.0,0.0,14545.0,0.1,1.8408387762117566,67.46814238179002,67.47239670795881,0,kth,0,223.2167456738312,20.3,20.3,0,tth,0,-20.3
1638585430.0019333,-4819.981,-4820.055555555556,0,x,0,-4820.055555555556,4272.0,644.0,24622.0,0.0,14544.0,0.1,1.692931793179318,67.52414238179003,67.52239670795882,0,kth,0,223.1667456738312,20.400000000000002,20.4,0,tth,0,-20.4
1638585430.8131526,-4825.0470000000005,-4825.069444444444,0,x,0,-4825.069444444444,4334.0,641.0,20274.0,0.0,14549.0,0.1,1.3934978349027425,67.57614238179002,67.57239670795883,0,kth,0,223.1167456738312,20.5,20.5,0,tth,0,-20.5
1638585431.4639833,-4830.087,-4830.083333333333,0,x,0,-4830.083333333333,4288.0,639.0,15504.0,0.0,14533.0,0.1,1.0668134590242895,67.61914238179003,67.62239670795881,0,kth,0,223.0667456738312,20.6,20.6,0,tth,0,-20.6
1638585432.0896428,-4835.122,-4835.097222222223,0,x,0,-4835.097222222223,4290.0,647.0,11895.0,0.0,14540.0,0.1,0.8180880330123796,67.67114238179002,67.6723967079588,0,kth,0,223.01674567383122,20.7,20.7,0,tth,0,-20.7
1638585432.745703,-4840.0650000000005,-4840.111111111111,0,x,0,-4840.111111111111,4202.0,619.0,9426.0,0.0,14544.0,0.1,0.648102310231023,67.72014238179003,67.72239670795881,0,kth,0,222.9667456738312,20.8,20.8,0,tth,0,-20.8
1638585433.4636602,-4845.127,-4845.125,0,x,0,-4845.125,4208.0,646.0,9185.0,0.0,14516.0,0.1,0.6327500688895012,67.77514238179,67.77239670795882,0,kth,0,222.9167456738312,20.900000000000002,20.9,0,tth,0,-20.9
1638585434.119304,-4850.1,-4850.138888888889,0,x,0,-4850.138888888889,4220.0,647.0,9993.0,0.0,14533.0,0.1,0.6876075139338058,67.82114238179003,67.82239670795883,0,kth,0,222.8667456738312,21.0,21.0,0,tth,0,-21.0
1638585434.8464143,-4855.188,-4855.152777777777,0,x,0,-4855.152777777777,4149.0,637.0,13520.0,0.0,14536.0,0.1,0.93010456796918,67.87614238179,67.87239670795881,0,kth,0,222.8167456738312,21.1,21.1,0,tth,0,-21.1
1638585435.5100534,-4860.122,-4860.166666666667,0,x,0,-4860.166666666667,4107.0,638.0,16576.0,0.0,14539.0,0.1,1.1401059220028888,67.92514238179001,67.9223967079588,0,kth,0,222.76674567383122,21.2,21.2,0,tth,0,-21.2
1638585436.1779656,-4865.191,-4865.180555555556,0,x,0,-4865.180555555556,4243.0,646.0,19509.0,0.0,14537.0,0.1,1.3420238013345256,67.97014238179003,67.97239670795881,0,kth,0,222.7167456738312,21.3,21.3,0,tth,0,-21.3
1638585436.8013866,-4870.087,-4870.194444444444,0,x,0,-4870.194444444444,4135.0,639.0,23963.0,0.0,14538.0,0.1,1.6483010042646857,68.02514238179,68.02239670795882,0,kth,0,222.6667456738312,21.400000000000002,21.4,0,tth,0,-21.4
1638585437.5517669,-4875.1810000000005,-4875.208333333333,0,x,0,-4875.208333333333,4234.0,641.0,24513.0,0.0,14518.0,0.1,1.6884557101529136,68.06814238179001,68.07239670795883,0,kth,0,222.6167456738312,21.5,21.5,0,tth,0,-21.5
1638585438.19806,-4880.267,-4880.222222222223,0,x,0,-4880.222222222223,4088.0,646.0,27189.0,0.0,14533.0,0.1,1.8708456615977431,68.12014238179,68.12239670795881,0,kth,0,222.5667456738312,21.6,21.6,0,tth,0,-21.6
1638585438.8494034,-4885.166,-4885.236111111111,0,x,0,-4885.236111111111,4098.0,630.0,26472.0,0.0,14524.0,0.1,1.8226383916276507,68.17114238179002,68.1723967079588,0,kth,0,222.51674567383122,21.7,21.7,0,tth,0,-21.7
1638585439.4941797,-4890.1050000000005,-4890.25,0,x,0,-4890.25,4087.0,636.0,25415.0,0.0,14527.0,0.1,1.7495009293040544,68.22114238179,68.22239670795881,0,kth,0,222.4667456738312,21.8,21.8,0,tth,0,-21.8
1638585440.129405,-4895.294,-4895.263888888889,0,x,0,-4895.263888888889,4119.0,632.0,22964.0,0.0,14523.0,0.1,1.5812160022034014,68.26914238179,68.27239670795882,0,kth,0,222.4167456738312,21.900000000000002,21.9,0,tth,0,-21.9
1638585440.8142772,-4900.29,-4900.277777777777,0,x,0,-4900.277777777777,4095.0,635.0,20677.0,0.0,14528.0,0.1,1.4232516519823788,68.32514238179002,68.32239670795883,0,kth,0,222.3667456738312,22.0,22.0,0,tth,0,-22.0
1638585441.5070965,-4905.295,-4905.291666666667,0,x,0,-4905.291666666667,4193.0,636.0,17428.0,0.0,14521.0,0.1,1.200192824185662,68.37414238179002,68.37239670795881,0,kth,0,222.3167456738312,22.1,22.1,0,tth,0,-22.1
