time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638729458.8863058,-749.886,-749.892,0,z,0,-749.892,158.0,62351.0,31.0,0.0,16503.0,0.2
1638729459.9639325,-719.891,-719.892,0,z,0,-719.892,141.0,62237.0,32.0,0.0,16489.0,0.2
1638729460.8468647,-689.895,-689.892,0,z,0,-689.892,146.0,62233.0,65.0,0.0,16499.0,0.2
1638729461.796559,-659.889,-659.892,0,z,0,-659.892,152.0,62113.0,58.0,0.0,16486.0,0.2
1638729462.664415,-629.898,-629.892,0,z,0,-629.892,151.0,62072.0,11.0,0.0,16494.0,0.2
1638729463.568963,-599.907,-599.892,0,z,0,-599.892,155.0,62050.0,0.0,0.0,16491.0,0.2
1638729464.5519614,-569.899,-569.892,0,z,0,-569.892,219.0,61975.0,18.0,0.0,16480.0,0.2
1638729465.424051,-539.8870000000001,-539.892,0,z,0,-539.892,159.0,61898.0,2.0,0.0,16486.0,0.2
1638729466.288218,-509.892,-509.892,0,z,0,-509.892,208.0,61778.0,42.0,0.0,16473.0,0.2
1638729467.1477993,-479.907,-479.892,0,z,0,-479.892,139.0,61680.0,25.0,0.0,16484.0,0.2
1638729467.9743834,-449.895,-449.892,0,z,0,-449.892,229.0,61431.0,35.0,0.0,16474.0,0.2
1638729468.8952076,-419.90000000000003,-419.892,0,z,0,-419.892,281.0,61152.0,51.0,0.0,16471.0,0.2
1638729469.865223,-389.897,-389.892,0,z,0,-389.892,285.0,61080.0,30.0,0.0,16521.0,0.2
1638729470.7368577,-359.887,-359.892,0,z,0,-359.892,284.0,60573.0,43.0,0.0,16507.0,0.2
1638729471.6010227,-329.88800000000003,-329.892,0,z,0,-329.892,371.0,60216.0,0.0,0.0,16518.0,0.2
1638729472.5026984,-299.90500000000003,-299.892,0,z,0,-299.892,471.0,59620.0,62.0,0.0,16527.0,0.2
1638729473.335841,-269.897,-269.892,0,z,0,-269.892,529.0,58545.0,19.0,0.0,16522.0,0.2
1638729474.1620915,-239.904,-239.892,0,z,0,-239.892,636.0,57657.0,38.0,0.0,16523.0,0.2
1638729474.9791207,-209.894,-209.892,0,z,0,-209.892,785.0,56019.0,32.0,0.0,16527.0,0.2
1638729475.9053502,-179.90200000000002,-179.892,0,z,0,-179.892,874.0,54721.0,43.0,0.0,16526.0,0.2
1638729476.7730176,-149.887,-149.892,0,z,0,-149.892,1145.0,52930.0,33.0,0.0,16529.0,0.2
1638729477.612915,-119.895,-119.892,0,z,0,-119.892,1272.0,50936.0,6.0,0.0,16528.0,0.2
1638729478.4647684,-89.893,-89.892,0,z,0,-89.892,1482.0,49102.0,57.0,0.0,16523.0,0.2
1638729479.3551452,-59.909,-59.892,0,z,0,-59.892,1712.0,46481.0,28.0,0.0,16526.0,0.2
1638729480.2743235,-29.896,-29.892,0,z,0,-29.892,1918.0,44400.0,19.0,0.0,16517.0,0.2
1638729481.1713817,0.111,0.108,0,z,0,0.108,2258.0,41433.0,30.0,0.0,16500.0,0.2
1638729482.0005832,30.098,30.108,0,z,0,30.108,2390.0,38998.0,38.0,0.0,16538.0,0.2
1638729482.8040874,60.108000000000004,60.108,0,z,0,60.108,2822.0,36047.0,57.0,0.0,16522.0,0.2
1638729483.666009,90.111,90.108,0,z,0,90.108,3024.0,32906.0,0.0,0.0,16515.0,0.2
1638729484.4823382,120.108,120.108,0,z,0,120.108,3379.0,30206.0,57.0,0.0,16517.0,0.2
1638729485.2992265,150.102,150.108,0,z,0,150.108,3759.0,26621.0,21.0,0.0,16513.0,0.2
1638729486.2057886,180.105,180.108,0,z,0,180.108,3875.0,24389.0,14.0,0.0,16519.0,0.2
1638729487.0910606,210.103,210.108,0,z,0,210.108,4377.0,20953.0,11.0,0.0,16509.0,0.2
1638729487.885633,240.101,240.108,0,z,0,240.108,4468.0,18367.0,33.0,0.0,16513.0,0.2
1638729488.7127752,270.111,270.108,0,z,0,270.108,4895.0,16070.0,37.0,0.0,16502.0,0.2
1638729489.5487938,300.10200000000003,300.108,0,z,0,300.108,5125.0,13076.0,4.0,0.0,16509.0,0.2
1638729490.4073389,330.103,330.108,0,z,0,330.108,5085.0,11449.0,35.0,0.0,16504.0,0.2
1638729491.264957,360.11,360.108,0,z,0,360.108,5646.0,9014.0,0.0,0.0,16511.0,0.2
1638729492.0839233,390.107,390.108,0,z,0,390.108,5405.0,7465.0,20.0,0.0,16503.0,0.2
1638729492.9863887,420.096,420.108,0,z,0,420.108,5679.0,6296.0,33.0,0.0,16501.0,0.2
1638729493.7918627,450.104,450.108,0,z,0,450.108,5689.0,4599.0,30.0,0.0,16513.0,0.2
1638729494.6804774,480.10900000000004,480.108,0,z,0,480.108,5677.0,3838.0,17.0,0.0,16499.0,0.2
1638729495.5735836,510.10900000000004,510.108,0,z,0,510.108,5975.0,2881.0,0.0,0.0,16500.0,0.2
1638729496.4516459,540.105,540.108,0,z,0,540.108,5623.0,2302.0,22.0,0.0,16507.0,0.2
1638729497.3053324,570.099,570.108,0,z,0,570.108,5911.0,1966.0,16.0,0.0,16505.0,0.2
1638729498.1687768,600.107,600.108,0,z,0,600.108,5652.0,1539.0,48.0,0.0,16508.0,0.2
1638729499.019294,630.107,630.108,0,z,0,630.108,5822.0,1369.0,0.0,0.0,16511.0,0.2
1638729499.9062054,660.106,660.108,0,z,0,660.108,5547.0,1202.0,22.0,0.0,16495.0,0.2
