time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638740286.5311596,-2399.977,-2400.0,0,x,0,-2400.0,1.5628058727569332,67.47614238179003,67.47709960277629,0,kth,0,223.21204277901373,20.0,20.0,0,tth,0,-20.0,22190.0,10.0,17244.0,0.0,11034.0,0.1
1638740287.8312845,-2404.995,-2405.025,0,x,0,-2405.025,1.665158780421605,67.53014238179003,67.52709960277627,0,kth,0,223.16204277901375,20.1,20.1,0,tth,0,-20.1,21467.0,10.0,18405.0,0.0,11053.0,0.1
1638740289.0738938,-2409.989,-2410.05,0,x,0,-2410.05,1.6027682286954947,67.57214238179,67.57709960277629,0,kth,0,223.11204277901373,20.2,20.2,0,tth,0,-20.2,21139.0,10.0,17717.0,0.0,11054.0,0.1
1638740290.2706819,-2415.06,-2415.075,0,x,0,-2415.075,1.643193338160753,67.62714238179001,67.6270996027763,0,kth,0,223.06204277901372,20.3,20.3,0,tth,0,-20.3,21082.0,11.0,18154.0,0.0,11048.0,0.1
1638740291.510107,-2420.114,-2420.1,0,x,0,-2420.1,1.6256674812200198,67.67414238179,67.67709960277631,0,kth,0,223.0120427790137,20.400000000000002,20.4,0,tth,0,-20.4,20879.0,10.0,17962.0,0.0,11049.0,0.1
1638740292.799757,-2425.1040000000003,-2425.125,0,x,0,-2425.125,1.6044931606123742,67.72914238179001,67.72709960277629,0,kth,0,222.96204277901373,20.5,20.5,0,tth,0,-20.5,20826.0,10.0,17712.0,0.0,11039.0,0.1
1638740293.9953651,-2430.1710000000003,-2430.15,0,x,0,-2430.15,1.5569540021731256,67.77514238179,67.77709960277627,0,kth,0,222.91204277901375,20.6,20.6,0,tth,0,-20.6,20829.0,10.0,17195.0,0.0,11044.0,0.1
1638740295.232642,-2435.14,-2435.175,0,x,0,-2435.175,1.5434447766603243,67.83114238179002,67.82709960277629,0,kth,0,222.86204277901373,20.7,20.7,0,tth,0,-20.7,20620.0,10.0,17035.0,0.0,11037.0,0.1
1638740296.546574,-2440.183,-2440.2,0,x,0,-2440.2,1.5086448809631574,67.88014238179002,67.8770996027763,0,kth,0,222.81204277901372,20.8,20.8,0,tth,0,-20.8,20461.0,10.0,16666.0,0.0,11047.0,0.1
1638740297.78171,-2445.186,-2445.225,0,x,0,-2445.225,1.460911314430655,67.92314238179003,67.92709960277631,0,kth,0,222.7620427790137,20.900000000000002,20.9,0,tth,0,-20.9,20388.0,11.0,16127.0,0.0,11039.0,0.1
1638740299.1791906,-2450.209,-2450.25,0,x,0,-2450.25,1.4819309845122723,67.98114238179002,67.97709960277629,0,kth,0,222.71204277901373,21.0,21.0,0,tth,0,-21.0,20221.0,9.0,16362.0,0.0,11041.0,0.1
1638740300.4716973,-2455.267,-2455.275,0,x,0,-2455.275,1.4745900896820363,68.02314238179002,68.02709960277627,0,kth,0,222.66204277901375,21.1,21.1,0,tth,0,-21.1,20083.0,10.0,16278.0,0.0,11039.0,0.1
1638740301.6909685,-2460.291,-2460.3,0,x,0,-2460.3,1.4725065676238789,68.07314238179,68.07709960277629,0,kth,0,222.61204277901373,21.2,21.2,0,tth,0,-21.2,19986.0,10.0,16255.0,0.0,11039.0,0.1
1638740302.9349005,-2465.332,-2465.325,0,x,0,-2465.325,1.472921572178953,68.12414238179002,68.1270996027763,0,kth,0,222.56204277901372,21.3,21.3,0,tth,0,-21.3,19982.0,10.0,16264.0,0.0,11042.0,0.1
1638740304.1460412,-2470.352,-2470.35,0,x,0,-2470.35,1.4804606038625443,68.17614238179002,68.17709960277631,0,kth,0,222.5120427790137,21.400000000000002,21.4,0,tth,0,-21.4,19764.0,10.0,16328.0,0.0,11029.0,0.1
1638740305.3776248,-2475.382,-2475.375,0,x,0,-2475.375,1.456539472491616,68.22314238179001,68.22709960277629,0,kth,0,222.46204277901373,21.5,21.5,0,tth,0,-21.5,19637.0,11.0,16070.0,0.0,11033.0,0.1
