time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638752663.3855157,40.0,10.0,601.0,0.0,9071.0,0.1,-0.25,-0.25,0,tth,0,0.25
1638752664.1414342,24.0,10.0,813.0,0.0,9062.0,0.1,-0.24,-0.24,0,tth,0,0.24
1638752664.8871427,43.0,10.0,1104.0,0.0,9077.0,0.1,-0.23,-0.23,0,tth,0,0.23
1638752665.615316,46.0,11.0,1529.0,0.0,9073.0,0.1,-0.22,-0.22,0,tth,0,0.22
1638752666.425086,30.0,10.0,2113.0,0.0,9076.0,0.1,-0.21,-0.21,0,tth,0,0.21
1638752667.176651,28.0,10.0,2992.0,0.0,9075.0,0.1,-0.2,-0.2,0,tth,0,0.2
1638752667.9752724,20.0,10.0,4045.0,0.0,9055.0,0.1,-0.19,-0.19,0,tth,0,0.19
1638752668.8155673,22.0,10.0,5099.0,0.0,9080.0,0.1,-0.18,-0.18,0,tth,0,0.18
1638752669.5818958,25.0,10.0,6438.0,0.0,9062.0,0.1,-0.17,-0.16999999999999998,0,tth,0,0.16999999999999998
1638752670.3409758,31.0,10.0,8377.0,0.0,9062.0,0.1,-0.16,-0.16,0,tth,0,0.16
1638752671.102338,33.0,9.0,10295.0,0.0,9082.0,0.1,-0.15,-0.15,0,tth,0,0.15
1638752671.8639848,38.0,10.0,12092.0,0.0,9084.0,0.1,-0.14,-0.14,0,tth,0,0.14
1638752672.6282544,24.0,10.0,14485.0,0.0,9067.0,0.1,-0.13,-0.13,0,tth,0,0.13
1638752673.3797305,35.0,11.0,16730.0,0.0,9064.0,0.1,-0.12,-0.12,0,tth,0,0.12
1638752674.196121,50.0,10.0,18610.0,0.0,9054.0,0.1,-0.11,-0.10999999999999999,0,tth,0,0.10999999999999999
1638752675.0446928,38.0,10.0,20840.0,0.0,9040.0,0.1,-0.1,-0.1,0,tth,0,0.1
1638752675.8625827,64.0,11.0,22843.0,0.0,9058.0,0.1,-0.09,-0.09,0,tth,0,0.09
1638752676.6086855,42.0,9.0,24783.0,0.0,9057.0,0.1,-0.08,-0.07999999999999999,0,tth,0,0.07999999999999999
1638752677.3564467,13.0,10.0,26310.0,0.0,9060.0,0.1,-0.07,-0.07,0,tth,0,0.07
1638752678.1317196,29.0,10.0,27747.0,0.0,9050.0,0.1,-0.06,-0.06,0,tth,0,0.06
1638752678.8372724,8.0,10.0,28785.0,0.0,9046.0,0.1,-0.05,-0.04999999999999999,0,tth,0,0.04999999999999999
1638752679.5695207,19.0,10.0,29463.0,0.0,9047.0,0.1,-0.04,-0.04000000000000001,0,tth,0,0.04000000000000001
1638752680.2820778,13.0,11.0,29569.0,0.0,9063.0,0.1,-0.03,-0.03,0,tth,0,0.03
1638752681.0123317,23.0,10.0,29386.0,0.0,9044.0,0.1,-0.02,-0.01999999999999999,0,tth,0,0.01999999999999999
1638752681.7833338,26.0,10.0,28751.0,0.0,9059.0,0.1,-0.01,-0.010000000000000009,0,tth,0,0.010000000000000009
1638752682.4909708,41.0,11.0,27868.0,0.0,9058.0,0.1,0.0,0.0,0,tth,0,-0.0
1638752683.2101624,25.0,11.0,26583.0,0.0,9053.0,0.1,0.01,0.010000000000000009,0,tth,0,-0.010000000000000009
1638752683.9927092,11.0,10.0,25118.0,0.0,9056.0,0.1,0.02,0.020000000000000018,0,tth,0,-0.020000000000000018
1638752684.7369976,26.0,10.0,23150.0,0.0,9053.0,0.1,0.03,0.030000000000000027,0,tth,0,-0.030000000000000027
1638752685.5169802,24.0,11.0,21086.0,0.0,9055.0,0.1,0.04,0.03999999999999998,0,tth,0,-0.03999999999999998
1638752686.37378,11.0,10.0,18643.0,0.0,9047.0,0.1,0.05,0.04999999999999999,0,tth,0,-0.04999999999999999
1638752687.1211128,53.0,10.0,16270.0,0.0,9047.0,0.1,0.06,0.06,0,tth,0,-0.06
1638752687.9856324,9.0,10.0,13875.0,0.0,9043.0,0.1,0.07,0.07,0,tth,0,-0.07
1638752688.7654862,18.0,9.0,11838.0,0.0,8970.0,0.1,0.08,0.08000000000000002,0,tth,0,-0.08000000000000002
1638752689.5499995,29.0,10.0,9940.0,0.0,9079.0,0.1,0.09,0.09000000000000002,0,tth,0,-0.09000000000000002
1638752690.326595,16.0,10.0,8140.0,0.0,9073.0,0.1,0.1,0.10000000000000003,0,tth,0,-0.10000000000000003
1638752691.112896,40.0,10.0,6528.0,0.0,9086.0,0.1,0.11,0.10999999999999999,0,tth,0,-0.10999999999999999
1638752691.8867648,36.0,10.0,5254.0,0.0,9082.0,0.1,0.12,0.12,0,tth,0,-0.12
1638752692.6739097,30.0,10.0,3953.0,0.0,9076.0,0.1,0.13,0.13,0,tth,0,-0.13
1638752693.393083,14.0,10.0,3050.0,0.0,9085.0,0.1,0.14,0.14,0,tth,0,-0.14
1638752694.1527562,18.0,11.0,2226.0,0.0,9070.0,0.1,0.15,0.15000000000000002,0,tth,0,-0.15000000000000002
1638752694.870545,14.0,10.0,1696.0,0.0,9077.0,0.1,0.16,0.16000000000000003,0,tth,0,-0.16000000000000003
1638752695.633777,35.0,11.0,1234.0,0.0,9076.0,0.1,0.17,0.16999999999999998,0,tth,0,-0.16999999999999998
1638752696.4100163,17.0,10.0,944.0,0.0,9084.0,0.1,0.18,0.18,0,tth,0,-0.18
1638752697.1380131,27.0,10.0,702.0,0.0,9072.0,0.1,0.19,0.19,0,tth,0,-0.19
1638752697.8932345,46.0,10.0,521.0,0.0,9060.0,0.1,0.2,0.2,0,tth,0,-0.2
1638752698.6622922,31.0,10.0,402.0,0.0,9069.0,0.1,0.21,0.21000000000000002,0,tth,0,-0.21000000000000002
1638752699.4349244,29.0,10.0,324.0,0.0,9057.0,0.1,0.22,0.22000000000000003,0,tth,0,-0.22000000000000003
1638752700.216952,27.0,10.0,285.0,0.0,9077.0,0.1,0.23,0.22999999999999998,0,tth,0,-0.22999999999999998
1638752700.912041,34.0,10.0,246.0,0.0,9081.0,0.1,0.24,0.24,0,tth,0,-0.24
1638752701.6305704,33.0,10.0,224.0,0.0,9067.0,0.1,0.25,0.25,0,tth,0,-0.25
