,1638551401.6040847
kappa_motors_m8,67.30014238179206
kappa_motors_m8_user_setpoint,67.30000000000001
kappa_motors_m8_sync,0
kappa_motors_m8_desc,kth
kappa_motors_m8_homf,0
kappa_motors_m8_dval,223.38914238179206
kappa_motors_m4,-96.162
kappa_motors_m4_user_setpoint,-96.0
kappa_motors_m4_sync,0
kappa_motors_m4_desc,z
kappa_motors_m4_homf,0
kappa_motors_m4_dval,-96.0
kappa_motors_m1,57.039054160000006
kappa_motors_m1_user_setpoint,57.038972157342585
kappa_motors_m1_sync,0
kappa_motors_m1_desc,kphi
kappa_motors_m1_homf,0
kappa_motors_m1_dval,-173.21902336265742
centroidM3R,111.43889435191444
kappa_motors_m3,0.23
kappa_motors_m3_user_setpoint,0.0
kappa_motors_m3_sync,0
kappa_motors_m3_desc,y
kappa_motors_m3_homf,0
kappa_motors_m3_dval,0.0
mono_energy_setpoint,680.0
mono_energy,680.0047743
mono_mirror_pitch,3.1786376953125
mono_mirror_pitch_user_setpoint,3.178577880859375
mono_grating_pitch,4.309116186523438
mono_grating_pitch_user_setpoint,4.3090923828125005
mono_grating_density,1200.0
mono_mirror_status,1
mono_grating_status,1
kappa_motors_m9,20.0
kappa_motors_m9_user_setpoint,20.0
kappa_motors_m9_sync,0
kappa_motors_m9_desc,tth
kappa_motors_m9_homf,0
kappa_motors_m9_dval,-20.0
kappa_motors_m7,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236
kappa_motors_m7_sync,0
kappa_motors_m7_desc,kap
kappa_motors_m7_homf,0
kappa_motors_m7_dval,179.2059273836236
kappa_motors_m2,400.088
kappa_motors_m2_user_setpoint,400.0
kappa_motors_m2_sync,0
kappa_motors_m2_desc,x
kappa_motors_m2_homf,0
kappa_motors_m2_dval,400.0
undulator_energy_setpoint,0.692701
undulator_energy_readback,0.6659919023513794
