time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638558954.8424928,16.0,16.0,0,tth,0,-16.0,65.32214238179,65.32239670795883,0,kth,0,225.3667456738312,53761.0,10.0,63733.0,0.0,20786.0,0.1
1638558955.8596041,16.1,16.1,0,tth,0,-16.1,65.36814238179002,65.37239670795881,0,kth,0,225.3167456738312,53368.0,10.0,63865.0,0.0,20775.0,0.1
1638558956.8610628,16.2,16.2,0,tth,0,-16.2,65.41814238179,65.4223967079588,0,kth,0,225.26674567383122,52971.0,10.0,63887.0,0.0,20775.0,0.1
1638558957.8200371,16.3,16.3,0,tth,0,-16.3,65.47514238179002,65.47239670795881,0,kth,0,225.2167456738312,52608.0,11.0,63926.0,0.0,20790.0,0.1
1638558958.8191626,16.4,16.4,0,tth,0,-16.4,65.52114238179001,65.52239670795882,0,kth,0,225.1667456738312,52328.0,11.0,63933.0,0.0,20785.0,0.1
1638558959.930767,16.5,16.5,0,tth,0,-16.5,65.57614238179002,65.57239670795883,0,kth,0,225.1167456738312,52035.0,9.0,63939.0,0.0,20774.0,0.1
1638558960.9775987,16.6,16.6,0,tth,0,-16.6,65.62514238179003,65.62239670795881,0,kth,0,225.0667456738312,51664.0,10.0,63943.0,0.0,20800.0,0.1
1638558961.9485157,16.7,16.7,0,tth,0,-16.7,65.67714238179002,65.6723967079588,0,kth,0,225.01674567383122,51354.0,10.0,63947.0,0.0,20775.0,0.1
1638558962.929586,16.8,16.8,0,tth,0,-16.8,65.72514238179002,65.72239670795881,0,kth,0,224.9667456738312,51089.0,10.0,63949.0,0.0,20782.0,0.1
1638558963.8727787,16.9,16.9,0,tth,0,-16.9,65.76914238179,65.77239670795882,0,kth,0,224.9167456738312,50813.0,10.0,63951.0,0.0,20790.0,0.1
1638558965.2992144,17.0,17.0,0,tth,0,-17.0,65.81814238179001,65.82239670795883,0,kth,0,224.8667456738312,50740.0,11.0,63882.0,0.0,20858.0,0.1
1638558966.4692247,17.1,17.1,0,tth,0,-17.1,65.86914238179003,65.87239670795881,0,kth,0,224.8167456738312,50423.0,10.0,63874.0,0.0,20847.0,0.1
1638558968.260168,17.2,17.2,0,tth,0,-17.2,65.92714238179002,65.9223967079588,0,kth,0,224.76674567383122,50128.0,10.0,63955.0,0.0,20844.0,0.1
1638558969.729182,17.3,17.3,0,tth,0,-17.3,65.96914238179002,65.97239670795881,0,kth,0,224.7167456738312,49897.0,11.0,63957.0,0.0,20863.0,0.1
1638558970.689163,17.400000000000002,17.4,0,tth,0,-17.4,66.01814238179003,66.02239670795882,0,kth,0,224.6667456738312,49654.0,10.0,63957.0,0.0,20861.0,0.1
1638558971.6379359,17.5,17.5,0,tth,0,-17.5,66.06814238179001,66.07239670795883,0,kth,0,224.6167456738312,49417.0,11.0,63959.0,0.0,20874.0,0.1
1638558972.824754,17.6,17.6,0,tth,0,-17.6,66.11814238179002,66.12239670795881,0,kth,0,224.5667456738312,49039.0,10.0,63959.0,0.0,20845.0,0.1
1638558973.8127367,17.7,17.7,0,tth,0,-17.7,66.16814238179,66.1723967079588,0,kth,0,224.51674567383122,48876.0,10.0,63961.0,0.0,20872.0,0.1
1638558974.7705734,17.8,17.8,0,tth,0,-17.8,66.22514238179002,66.22239670795881,0,kth,0,224.4667456738312,48463.0,10.0,63961.0,0.0,20826.0,0.1
1638558975.8219001,17.900000000000002,17.9,0,tth,0,-17.9,66.26814238179003,66.27239670795882,0,kth,0,224.4167456738312,48310.0,10.0,63962.0,0.0,20852.0,0.1
1638558976.7988853,18.0,18.0,0,tth,0,-18.0,66.32514238179002,66.32239670795883,0,kth,0,224.3667456738312,47911.0,11.0,63962.0,0.0,20824.0,0.1
1638558977.7868452,18.1,18.1,0,tth,0,-18.1,66.36814238179002,66.37239670795881,0,kth,0,224.3167456738312,47829.0,11.0,63963.0,0.0,20847.0,0.1
1638558980.2745202,18.2,18.2,0,tth,0,-18.2,66.42914238179003,66.4223967079588,0,kth,0,224.26674567383122,47495.0,11.0,63963.0,0.0,20837.0,0.1
1638558981.532,18.3,18.3,0,tth,0,-18.3,66.46814238179002,66.47239670795881,0,kth,0,224.2167456738312,47312.0,10.0,63863.0,0.0,20822.0,0.1
1638558984.111728,18.400000000000002,18.4,0,tth,0,-18.4,66.52814238179002,66.52239670795882,0,kth,0,224.1667456738312,46985.0,10.0,63963.0,0.0,20820.0,0.1
1638558985.527111,18.5,18.5,0,tth,0,-18.5,66.56814238179001,66.57239670795883,0,kth,0,224.1167456738312,46789.0,11.0,63822.0,0.0,20826.0,0.1
1638558988.153674,18.6,18.6,0,tth,0,-18.6,66.62914238179002,66.62239670795881,0,kth,0,224.0667456738312,46487.0,11.0,63961.0,0.0,20815.0,0.1
1638558989.5705554,18.7,18.7,0,tth,0,-18.7,66.66814238179,66.6723967079588,0,kth,0,224.01674567383122,46325.0,11.0,63174.0,0.0,20844.0,0.1
1638558990.570211,18.8,18.8,0,tth,0,-18.8,66.72414238179002,66.72239670795881,0,kth,0,223.9667456738312,46099.0,10.0,63820.0,0.0,20830.0,0.1
1638558991.7651188,18.900000000000002,18.9,0,tth,0,-18.9,66.76814238179003,66.77239670795882,0,kth,0,223.9167456738312,45861.0,11.0,62734.0,0.0,20829.0,0.1
1638558992.7491882,19.0,19.0,0,tth,0,-19.0,66.82114238179003,66.82239670795883,0,kth,0,223.8667456738312,45625.0,10.0,62688.0,0.0,20838.0,0.1
1638558994.7190876,19.1,19.1,0,tth,0,-19.1,66.87714238179001,66.87239670795881,0,kth,0,223.8167456738312,45437.0,10.0,61690.0,0.0,20819.0,0.1
1638558995.9949098,19.2,19.2,0,tth,0,-19.2,66.91814238179,66.9223967079588,0,kth,0,223.76674567383122,45194.0,11.0,54341.0,0.0,20814.0,0.1
1638558996.9688416,19.3,19.3,0,tth,0,-19.3,66.96814238179002,66.97239670795881,0,kth,0,223.7167456738312,44954.0,10.0,54634.0,0.0,20819.0,0.1
1638558998.053778,19.400000000000002,19.4,0,tth,0,-19.4,67.01814238179003,67.02239670795882,0,kth,0,223.6667456738312,44740.0,11.0,50627.0,0.0,20824.0,0.1
1638558999.2344358,19.5,19.5,0,tth,0,-19.5,67.06814238179001,67.07239670795883,0,kth,0,223.6167456738312,44551.0,10.0,47875.0,0.0,20824.0,0.1
1638559000.2118998,19.6,19.6,0,tth,0,-19.6,67.12714238179001,67.12239670795881,0,kth,0,223.5667456738312,44309.0,10.0,47114.0,0.0,20835.0,0.1
1638559001.231459,19.7,19.7,0,tth,0,-19.7,67.16914238179001,67.1723967079588,0,kth,0,223.51674567383122,44184.0,11.0,42977.0,0.0,20823.0,0.1
1638559003.246151,19.8,19.8,0,tth,0,-19.8,67.22714238179,67.22239670795881,0,kth,0,223.4667456738312,43904.0,11.0,41798.0,0.0,20827.0,0.1
1638559004.4253285,19.900000000000002,19.9,0,tth,0,-19.9,67.26814238179003,67.27239670795882,0,kth,0,223.4167456738312,43771.0,10.0,37241.0,0.0,20821.0,0.1
1638559005.3571305,20.0,20.0,0,tth,0,-20.0,67.32414238179001,67.32239670795883,0,kth,0,223.3667456738312,43504.0,10.0,37943.0,0.0,20828.0,0.1
1638559006.3167465,20.1,20.1,0,tth,0,-20.1,67.36914238179003,67.37239670795881,0,kth,0,223.3167456738312,43314.0,10.0,35661.0,0.0,20823.0,0.1
1638559008.4226418,20.2,20.2,0,tth,0,-20.2,67.42614238179002,67.4223967079588,0,kth,0,223.26674567383122,43050.0,10.0,35029.0,0.0,20818.0,0.1
1638559009.6587148,20.3,20.3,0,tth,0,-20.3,67.46814238179002,67.47239670795881,0,kth,0,223.2167456738312,42889.0,10.0,31940.0,0.0,20815.0,0.1
