time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638568136.4703574,58.32214238179,58.32239670795883,0,kth,0,232.3667456738312,7952.0,10.0,33972.0,0.0,18149.0,0.1,1.8718386687971789,2.0,2.0,0,tth,0,-2.0
1638568137.6409428,58.36914238179003,58.37239670795881,0,kth,0,232.3167456738312,8514.0,9.0,35297.0,0.0,18181.0,0.1,1.9414223640063804,2.1,2.1,0,tth,0,-2.1
1638568138.8501196,58.418142381790005,58.422396707958825,0,kth,0,232.2667456738312,9013.0,9.0,36628.0,0.0,18176.0,0.1,2.0151848591549295,2.2,2.2,0,tth,0,-2.2
1638568140.0488868,58.46814238179002,58.47239670795881,0,kth,0,232.2167456738312,9781.0,9.0,37836.0,0.0,18177.0,0.1,2.081531605875557,2.3000000000000003,2.3,0,tth,0,-2.3
1638568141.473883,58.519142381790004,58.52239670795882,0,kth,0,232.1667456738312,10308.0,9.0,38878.0,0.0,18161.0,0.1,2.1407411486151644,2.4,2.4,0,tth,0,-2.4
1638568142.6173286,58.57014238179002,58.57239670795883,0,kth,0,232.1167456738312,11039.0,9.0,39990.0,0.0,18186.0,0.1,2.1989442428241506,2.5,2.5,0,tth,0,-2.5
1638568144.185517,58.61814238179002,58.62239670795881,0,kth,0,232.0667456738312,11615.0,10.0,40748.0,0.0,18144.0,0.1,2.245811287477954,2.6,2.6,0,tth,0,-2.6
1638568145.3657913,58.67314238179003,58.672396707958825,0,kth,0,232.0167456738312,12436.0,10.0,41523.0,0.0,18228.0,0.1,2.2779789335088876,2.7,2.7,0,tth,0,-2.7
1638568146.5276995,58.720142381790026,58.72239670795881,0,kth,0,231.9667456738312,13099.0,9.0,41644.0,0.0,18222.0,0.1,2.2853693337723633,2.8000000000000003,2.8,0,tth,0,-2.8
1638568148.0895674,58.777142381790014,58.77239670795882,0,kth,0,231.9167456738312,13742.0,10.0,41872.0,0.0,18220.0,0.1,2.298133918770582,2.9,2.9,0,tth,0,-2.9
1638568149.5028613,58.81814238179001,58.82239670795883,0,kth,0,231.8667456738312,14356.0,9.0,41957.0,0.0,18213.0,0.1,2.303684181628507,3.0,3.0,0,tth,0,-3.0
1638568150.679592,58.876142381790004,58.87239670795881,0,kth,0,231.8167456738312,15159.0,9.0,42467.0,0.0,18210.0,0.1,2.332070291048874,3.1,3.1,0,tth,0,-3.1
1638568151.9100292,58.91914238179001,58.922396707958825,0,kth,0,231.7667456738312,15711.0,10.0,42518.0,0.0,18212.0,0.1,2.334614539863826,3.2,3.2,0,tth,0,-3.2
1638568153.0245159,58.97714238179,58.97239670795881,0,kth,0,231.7167456738312,16625.0,9.0,42895.0,0.0,18220.0,0.1,2.3542810098792537,3.3000000000000003,3.3,0,tth,0,-3.3
1638568154.2223773,59.019142381790004,59.02239670795882,0,kth,0,231.6667456738312,17373.0,10.0,42921.0,0.0,18211.0,0.1,2.356872220086761,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004
1638568155.396944,59.069142381790016,59.07239670795883,0,kth,0,231.6167456738312,18140.0,10.0,42901.0,0.0,18205.0,0.1,2.3565503982422413,3.5,3.5,0,tth,0,-3.5
1638568156.6077235,59.126142381790004,59.12239670795881,0,kth,0,231.5667456738312,19041.0,9.0,43241.0,0.0,18209.0,0.1,2.3747048162996323,3.6,3.6,0,tth,0,-3.6
