time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638656862.0541086,1.3360047688435555,58.32214238179,58.32239670795883,0,kth,0,232.3667456738312,5140.0,10.0,20171.0,0.0,15098.0,0.1,2.0,2.0,0,tth,0,-2.0,800.086,800.0,0,x,0,800.0
1638656863.3198664,1.3049039098740889,58.37114238179001,58.37239670795881,0,kth,0,232.3167456738312,4696.0,9.0,19691.0,0.0,15090.0,0.1,2.1,2.1,0,tth,0,-2.1,794.996,794.9722222222222,0,x,0,794.9722222222222
1638656864.6258886,1.1890853698920458,58.418142381790005,58.422396707958825,0,kth,0,232.2667456738312,4510.0,8.0,17954.0,0.0,15099.0,0.1,2.2,2.2,0,tth,0,-2.2,789.979,789.9444444444445,0,x,0,789.9444444444445
1638656865.8184435,1.3653935261799166,58.47314238179001,58.47239670795881,0,kth,0,232.2167456738312,4518.0,9.0,20627.0,0.0,15107.0,0.1,2.3000000000000003,2.3,0,tth,0,-2.3,784.891,784.9166666666666,0,x,0,784.9166666666666
1638656867.0167408,1.2997020854021848,58.521142381790014,58.52239670795882,0,kth,0,232.1667456738312,4325.0,8.0,19632.0,0.0,15105.0,0.1,2.4,2.4,0,tth,0,-2.4,779.88,779.8888888888889,0,x,0,779.8888888888889
1638656868.1852114,1.4487077534791253,58.57614238179002,58.57239670795883,0,kth,0,232.1167456738312,4624.0,9.0,21861.0,0.0,15090.0,0.1,2.5,2.5,0,tth,0,-2.5,774.9010000000001,774.8611111111111,0,x,0,774.8611111111111
1638656869.5589712,1.4142203962626732,58.62714238179001,58.62239670795881,0,kth,0,232.0667456738312,4377.0,9.0,21342.0,0.0,15091.0,0.1,2.6,2.6,0,tth,0,-2.6,769.972,769.8333333333334,0,x,0,769.8333333333334
1638656870.8417163,1.3561162990926552,58.674142381790006,58.672396707958825,0,kth,0,232.0167456738312,4519.0,8.0,20476.0,0.0,15099.0,0.1,2.7,2.7,0,tth,0,-2.7,764.764,764.8055555555555,0,x,0,764.8055555555555
1638656872.0638952,1.1069415898693893,58.71814238179002,58.72239670795881,0,kth,0,231.9667456738312,4548.0,9.0,16696.0,0.0,15083.0,0.1,2.8000000000000003,2.8,0,tth,0,-2.8,759.7760000000001,759.7777777777778,0,x,0,759.7777777777778
1638656873.2422366,1.3076413720037081,58.77414238179003,58.77239670795882,0,kth,0,231.9167456738312,4764.0,9.0,19748.0,0.0,15102.0,0.1,2.9,2.9,0,tth,0,-2.9,754.722,754.75,0,x,0,754.75
1638656874.4902797,1.1056431315406015,58.819142381790016,58.82239670795883,0,kth,0,231.8667456738312,4832.0,8.0,16693.0,0.0,15098.0,0.1,3.0,3.0,0,tth,0,-3.0,749.778,749.7222222222222,0,x,0,749.7222222222222
1638656875.7204893,1.100311402636984,58.870142381790004,58.87239670795881,0,kth,0,231.8167456738312,4841.0,9.0,16607.0,0.0,15093.0,0.1,3.1,3.1,0,tth,0,-3.1,744.719,744.6944444444445,0,x,0,744.6944444444445
1638656876.8825078,1.0340374809615258,58.918142381790005,58.922396707958825,0,kth,0,231.7667456738312,4898.0,9.0,15615.0,0.0,15101.0,0.1,3.2,3.2,0,tth,0,-3.2,739.7,739.6666666666666,0,x,0,739.6666666666666
1638656878.1275747,0.9780503978779841,58.96914238179002,58.97239670795881,0,kth,0,231.7167456738312,5035.0,9.0,14749.0,0.0,15080.0,0.1,3.3000000000000003,3.3,0,tth,0,-3.3,734.607,734.6388888888889,0,x,0,734.6388888888889
