time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc
1638659593.5440164,65.32414238179001,65.32239670795883,0,kth,0,225.3667456738312,16.0,16.0,0,tth,0,-16.0,7442.0,9.0,72688.0,0.0,15124.0,0.1,-399.98900000000003,-400.0,0,x,0,-400.0,4.806135942872256
1638659594.855087,65.36914238179003,65.37239670795881,0,kth,0,225.3167456738312,16.1,16.1,0,tth,0,-16.1,6370.0,9.0,72688.0,0.0,15102.0,0.1,-405.012,-405.0125,0,x,0,-405.0125,4.813137332803602
1638659596.1487124,65.41914238179001,65.4223967079588,0,kth,0,225.26674567383122,16.2,16.2,0,tth,0,-16.2,6219.0,10.0,72689.0,0.0,15130.0,0.1,-410.056,-410.025,0,x,0,-410.025,4.804296100462657
1638659597.3618343,65.47714238179,65.47239670795881,0,kth,0,225.2167456738312,16.3,16.3,0,tth,0,-16.3,6207.0,10.0,72689.0,0.0,15107.0,0.1,-414.981,-415.0375,0,x,0,-415.0375,4.811610511683326
1638659598.65465,65.51814238179003,65.52239670795882,0,kth,0,225.1667456738312,16.4,16.4,0,tth,0,-16.4,6106.0,9.0,71003.0,0.0,15107.0,0.1,-420.059,-420.05,0,x,0,-420.05,4.700006619447938
1638659600.002689,65.57414238179001,65.57239670795883,0,kth,0,225.1167456738312,16.5,16.5,0,tth,0,-16.5,5908.0,9.0,70591.0,0.0,15102.0,0.1,-425.009,-425.0625,0,x,0,-425.0625,4.674281552112303
1638659601.2431982,65.62014238179,65.62239670795881,0,kth,0,225.0667456738312,16.6,16.6,0,tth,0,-16.6,5888.0,10.0,67418.0,0.0,15112.0,0.1,-430.104,-430.075,0,x,0,-430.075,4.461222869242985
1638659602.541367,65.67314238179003,65.6723967079588,0,kth,0,225.01674567383122,16.7,16.7,0,tth,0,-16.7,5889.0,9.0,67635.0,0.0,15121.0,0.1,-435.04200000000003,-435.0875,0,x,0,-435.0875,4.4729184577739565
1638659603.8906069,65.71914238179002,65.72239670795881,0,kth,0,224.9667456738312,16.8,16.8,0,tth,0,-16.8,5822.0,9.0,64327.0,0.0,15107.0,0.1,-440.04,-440.1,0,x,0,-440.1,4.258092275104256
1638659605.18392,65.77414238179003,65.77239670795882,0,kth,0,224.9167456738312,16.9,16.9,0,tth,0,-16.9,5820.0,10.0,64177.0,0.0,15115.0,0.1,-445.094,-445.1125,0,x,0,-445.1125,4.245914654316904
