time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,D3,scaler_time
1638590034.9778652,-1249.9850000000001,-1250.0,0,z,0,-1250.0,21555.0,0.1
1638590035.4561222,-1200.002,-1200.0,0,z,0,-1200.0,21538.0,0.1
1638590035.936077,-1150.001,-1150.0,0,z,0,-1150.0,21533.0,0.1
1638590036.4021223,-1100.023,-1100.0,0,z,0,-1100.0,21532.0,0.1
1638590036.877071,-1050.0240000000001,-1050.0,0,z,0,-1050.0,21498.0,0.1
1638590037.353387,-1000.015,-1000.0,0,z,0,-1000.0,21480.0,0.1
1638590037.8277433,-950.0,-950.0,0,z,0,-950.0,21472.0,0.1
1638590038.3000834,-900.001,-900.0,0,z,0,-900.0,21401.0,0.1
1638590038.778518,-850.016,-850.0,0,z,0,-850.0,21350.0,0.1
1638590039.2458565,-799.9970000000001,-800.0,0,z,0,-800.0,21242.0,0.1
1638590039.7287354,-750.014,-750.0,0,z,0,-750.0,21044.0,0.1
1638590040.2054873,-700.004,-700.0,0,z,0,-700.0,20804.0,0.1
1638590040.6731753,-649.997,-650.0,0,z,0,-650.0,20429.0,0.1
1638590041.1399107,-600.02,-600.0,0,z,0,-600.0,19780.0,0.1
1638590041.6136427,-550.0,-550.0,0,z,0,-550.0,19039.0,0.1
1638590042.086255,-500.002,-500.0,0,z,0,-500.0,17952.0,0.1
1638590042.5655155,-450.011,-450.0,0,z,0,-450.0,16518.0,0.1
1638590043.0361984,-399.999,-400.0,0,z,0,-400.0,15077.0,0.1
1638590043.5101027,-350.004,-350.0,0,z,0,-350.0,13377.0,0.1
1638590043.9766805,-299.998,-300.0,0,z,0,-300.0,11261.0,0.1
1638590044.4468865,-250.013,-250.0,0,z,0,-250.0,9835.0,0.1
1638590044.9191425,-199.995,-200.0,0,z,0,-200.0,8333.0,0.1
1638590045.398103,-149.999,-150.0,0,z,0,-150.0,6734.0,0.1
1638590045.87328,-99.992,-100.0,0,z,0,-100.0,5752.0,0.1
1638590046.3429737,-50.008,-50.0,0,z,0,-50.0,5197.0,0.1
1638590046.8686662,-0.007,0.0,0,z,0,0.0,4784.0,0.1
1638590047.339521,50.01,50.0,0,z,0,50.0,5233.0,0.1
1638590047.8140824,99.995,100.0,0,z,0,100.0,6040.0,0.1
1638590048.3529892,149.997,150.0,0,z,0,150.0,7174.0,0.1
1638590048.8307366,199.998,200.0,0,z,0,200.0,8784.0,0.1
1638590049.2982416,249.995,250.0,0,z,0,250.0,10529.0,0.1
1638590049.7845523,300.0,300.0,0,z,0,300.0,12239.0,0.1
1638590050.256711,349.996,350.0,0,z,0,350.0,13978.0,0.1
1638590050.7267592,399.983,400.0,0,z,0,400.0,15716.0,0.1
1638590051.1920133,449.991,450.0,0,z,0,450.0,17058.0,0.1
1638590051.6667986,499.997,500.0,0,z,0,500.0,18364.0,0.1
1638590052.1347222,549.995,550.0,0,z,0,550.0,19458.0,0.1
1638590052.6100457,599.998,600.0,0,z,0,600.0,20093.0,0.1
1638590053.0810573,649.999,650.0,0,z,0,650.0,20690.0,0.1
1638590053.5439785,699.9970000000001,700.0,0,z,0,700.0,21005.0,0.1
1638590054.0183084,749.998,750.0,0,z,0,750.0,21206.0,0.1
1638590054.484442,800.0020000000001,800.0,0,z,0,800.0,21341.0,0.1
1638590054.950661,849.9970000000001,850.0,0,z,0,850.0,21423.0,0.1
1638590055.42323,900.004,900.0,0,z,0,900.0,21427.0,0.1
1638590055.9025881,949.998,950.0,0,z,0,950.0,21485.0,0.1
1638590056.3720274,999.998,1000.0,0,z,0,1000.0,21481.0,0.1
1638590056.8480923,1050.002,1050.0,0,z,0,1050.0,21480.0,0.1
1638590057.322906,1100.002,1100.0,0,z,0,1100.0,21485.0,0.1
1638590057.9406073,1149.999,1150.0,0,z,0,1150.0,21482.0,0.1
1638590058.411343,1199.998,1200.0,0,z,0,1200.0,21477.0,0.1
1638590058.8949795,1250.0040000000001,1250.0,0,z,0,1250.0,21490.0,0.1
