,1638592272.4234579,1638592319.3448472
kappa_motors_m1,57.04495536,57.04496184
kappa_motors_m1_user_setpoint,57.04499999999996,57.04499999999996
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999996,85.26580415999996
kappa_motors_m2,1205.025,1355.907
kappa_motors_m2_user_setpoint,1205.0277777777778,1355.861111111111
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,1205.0277777777778,1355.861111111111
mono_energy_setpoint,520.0,520.0
mono_energy,520.004966,520.0057859
mono_mirror_pitch,3.6362237548828125,3.6362396240234376
mono_mirror_pitch_user_setpoint,3.6361676025390626,3.6361676025390626
mono_grating_pitch,4.9287426513671875,4.928726171875
mono_grating_pitch_user_setpoint,4.9287646240234375,4.9287646240234375
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
srs_A4,2.0000000000000002e-07,2.0000000000000002e-07
undulator_energy_setpoint,0.529501,0.529501
undulator_energy_readback,0.4972343444824219,0.497091680765152
select_detector,d4,d4
kappa_motors_m9,1.0,5.1000000000000005
kappa_motors_m9_user_setpoint,1.0,5.1
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-1.0,-5.1
centroidM3R,111.40216431095406,111.33846985671804
kappa_motors_m7,134.75600000000003,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
kappa_motors_m4,-250.172,-250.168
kappa_motors_m4_user_setpoint,-250.0,-250.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-250.0,-250.0
kappa_motors_m8,57.82214238179,59.87214238179001
kappa_motors_m8_user_setpoint,57.82239670795883,59.87239670795881
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,232.8667456738312,230.8167456738312
kappa_motors_m3,0.298,0.298
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,0.0,0.0
