time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,D4,scaler_time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval
1638592274.0656633,1199.955,1200.0,0,x,0,1200.0,2.1793390176872665,2.0,2.0,0,tth,0,-2.0,30927.0,0.1,58.32014238179002,58.32239670795883,0,kth,0,232.3667456738312
1638592274.828832,1204.984,1205.0277777777778,0,x,0,1205.0277777777778,2.2476049591434206,2.1,2.1,0,tth,0,-2.1,31907.0,0.1,58.37214238179001,58.37239670795881,0,kth,0,232.3167456738312
1638592275.5921912,1210.04,1210.0555555555557,0,x,0,1210.0555555555557,2.294080338266385,2.2,2.2,0,tth,0,-2.2,32553.0,0.1,58.41914238179001,58.422396707958825,0,kth,0,232.2667456738312
1638592276.3248625,1215.098,1215.0833333333333,0,x,0,1215.0833333333333,2.334320987654321,2.3000000000000003,2.3,0,tth,0,-2.3,33089.0,0.1,58.46814238179002,58.47239670795881,0,kth,0,232.2167456738312
1638592277.0589845,1220.105,1220.111111111111,0,x,0,1220.111111111111,2.373448956570784,2.4,2.4,0,tth,0,-2.4,33665.0,0.1,58.525142381790005,58.52239670795882,0,kth,0,232.1667456738312
1638592277.8215985,1225.067,1225.138888888889,0,x,0,1225.138888888889,2.3991407240456404,2.5,2.5,0,tth,0,-2.5,34063.0,0.1,58.57214238179,58.57239670795883,0,kth,0,232.1167456738312
1638592278.7061534,1230.185,1230.1666666666667,0,x,0,1230.1666666666667,2.4286722167348667,2.6,2.6,0,tth,0,-2.6,34424.0,0.1,58.62714238179001,58.62239670795881,0,kth,0,232.0667456738312
1638592279.499689,1235.224,1235.1944444444443,0,x,0,1235.1944444444443,2.4529432499118786,2.7,2.7,0,tth,0,-2.7,34795.0,0.1,58.670142381790015,58.672396707958825,0,kth,0,232.0167456738312
1638592280.5215719,1240.137,1240.2222222222222,0,x,0,1240.2222222222222,2.4653213857334366,2.8000000000000003,2.8,0,tth,0,-2.8,34941.0,0.1,58.71914238179002,58.72239670795881,0,kth,0,231.9667456738312
1638592281.586578,1245.195,1245.25,0,x,0,1245.25,2.510609799083539,2.9,2.9,0,tth,0,-2.9,35613.0,0.1,58.777142381790014,58.77239670795882,0,kth,0,231.9167456738312
1638592282.4185884,1250.269,1250.2777777777778,0,x,0,1250.2777777777778,2.481945519814176,3.0,3.0,0,tth,0,-3.0,35261.0,0.1,58.82014238179002,58.82239670795883,0,kth,0,231.8667456738312
1638592283.1754332,1255.32,1255.3055555555557,0,x,0,1255.3055555555557,2.5369600450990064,3.1,3.1,0,tth,0,-3.1,36002.0,0.1,58.87214238179001,58.87239670795881,0,kth,0,231.8167456738312
1638592283.9173515,1260.329,1260.3333333333333,0,x,0,1260.3333333333333,2.487582898264428,3.2,3.2,0,tth,0,-3.2,35259.0,0.1,58.91914238179001,58.922396707958825,0,kth,0,231.7667456738312
1638592284.6516247,1265.307,1265.361111111111,0,x,0,1265.361111111111,2.4726041887031944,3.3000000000000003,3.3,0,tth,0,-3.3,35064.0,0.1,58.97114238179,58.97239670795881,0,kth,0,231.7167456738312
1638592285.4290724,1270.355,1270.388888888889,0,x,0,1270.388888888889,2.465380009861238,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004,35001.0,0.1,59.021142381790014,59.02239670795882,0,kth,0,231.6667456738312
1638592286.146376,1275.419,1275.4166666666667,0,x,0,1275.4166666666667,2.4559870322080486,3.5,3.5,0,tth,0,-3.5,34848.0,0.1,59.07314238179001,59.07239670795883,0,kth,0,231.6167456738312
1638592286.8842719,1280.433,1280.4444444444443,0,x,0,1280.4444444444443,2.3306303765336343,3.6,3.6,0,tth,0,-3.6,33053.0,0.1,59.11814238179002,59.12239670795881,0,kth,0,231.5667456738312
1638592287.7076132,1285.404,1285.4722222222222,0,x,0,1285.4722222222222,2.331571156692747,3.7,3.7,0,tth,0,-3.7,33078.0,0.1,59.16914238179001,59.172396707958825,0,kth,0,231.5167456738312
1638592288.5112257,1290.411,1290.5,0,x,0,1290.5,2.3136937063922756,3.8000000000000003,3.8,0,tth,0,-3.8,32829.0,0.1,59.22214238179001,59.22239670795881,0,kth,0,231.4667456738312
1638592289.2806942,1295.529,1295.5277777777778,0,x,0,1295.5277777777778,2.2994294569275198,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004,32645.0,0.1,59.27414238179003,59.27239670795882,0,kth,0,231.4167456738312
1638592290.000758,1300.545,1300.5555555555557,0,x,0,1300.5555555555557,2.2277213761985335,4.0,4.0,0,tth,0,-4.0,31598.0,0.1,59.321142381790025,59.32239670795883,0,kth,0,231.3667456738312
1638592290.9148319,1305.556,1305.5833333333333,0,x,0,1305.5833333333333,2.2078425841032514,4.1,4.1,0,tth,0,-4.1,31305.0,0.1,59.376142381790004,59.37239670795881,0,kth,0,231.3167456738312
1638592291.6772337,1310.611,1310.611111111111,0,x,0,1310.611111111111,2.134469163615883,4.2,4.2,0,tth,0,-4.2,30318.0,0.1,59.42514238179001,59.422396707958825,0,kth,0,231.2667456738312
1638592292.4027894,1315.5810000000001,1315.638888888889,0,x,0,1315.638888888889,2.0549055539892866,4.3,4.300000000000001,0,tth,0,-4.300000000000001,29155.0,0.1,59.47514238179002,59.47239670795881,0,kth,0,231.2167456738312
1638592293.1288,1320.608,1320.6666666666667,0,x,0,1320.6666666666667,1.9392296317160764,4.4,4.4,0,tth,0,-4.4,27539.0,0.1,59.525142381790005,59.52239670795882,0,kth,0,231.1667456738312
1638592294.0470648,1325.6870000000001,1325.6944444444443,0,x,0,1325.6944444444443,1.7996335189231094,4.5,4.5,0,tth,0,-4.5,25535.0,0.1,59.569142381790016,59.57239670795883,0,kth,0,231.1167456738312
1638592295.0912445,1330.751,1330.7222222222222,0,x,0,1330.7222222222222,1.673175890024674,4.6000000000000005,4.6,0,tth,0,-4.6,23734.0,0.1,59.62714238179001,59.62239670795881,0,kth,0,231.0667456738312
1638592295.8347185,1335.747,1335.75,0,x,0,1335.75,1.3775165423060678,4.7,4.7,0,tth,0,-4.7,19569.0,0.1,59.668142381790005,59.672396707958825,0,kth,0,231.0167456738312
1638592296.5501113,1340.749,1340.7777777777778,0,x,0,1340.7777777777778,1.3808450704225352,4.8,4.800000000000001,0,tth,0,-4.800000000000001,19608.0,0.1,59.72214238179001,59.72239670795881,0,kth,0,230.9667456738312
1638592297.660668,1345.781,1345.8055555555557,0,x,0,1345.8055555555557,1.1623431552234598,4.9,4.9,0,tth,0,-4.9,16489.0,0.1,59.77614238179001,59.77239670795882,0,kth,0,230.9167456738312
1638592298.3775375,1350.768,1350.8333333333333,0,x,0,1350.8333333333333,1.0061254664507497,5.0,5.0,0,tth,0,-5.0,14290.0,0.1,59.82414238179001,59.82239670795883,0,kth,0,230.8667456738312
